Title,Types,Price,Bedrooms,Bathrooms,Areas,Location,Release Date,Url
Putra place condo 2 car park bayan lepas quensbay nice unit,Apartments,RM 495 000,3 Bedrooms,2 Bathrooms,1000 sq.ft.,Bayan Lepas,"Today, 10:55",https://www.mudah.my/Putra+place+condo+2+car+park+bayan+lepas+quensbay+nice+unit-91752272.htm
Reflections Condo For Sale - High Floor,Apartments,RM 650 000,3 Bedrooms,2 Bathrooms,1260 sq.ft.,Bayan Lepas,"Today, 10:50",https://www.mudah.my/Reflections+Condo+For+Sale+High+Floor-71964461.htm
Havana Beach residence,Apartments,RM 393 000,3 Bedrooms,2 Bathrooms,900 sq.ft.,Bayan Lepas,"Today, 10:50",https://www.mudah.my/Havana+Beach+residence-91677408.htm
Queen Residence,Apartments,RM 750 000,2 Bedrooms,2 Bathrooms,950 sq.ft.,Bayan Lepas,"Today, 10:45",https://www.mudah.my/Queen+Residence-91677306.htm
Apartment Erskine Third floor,Apartments,RM 260 000,3 Bedrooms,2 Bathrooms,650 sq.ft.,Tanjong Tokong,"Today, 10:25",https://www.mudah.my/Apartment+Erskine+Third+floor-91165389.htm
Quaywest residence,Apartments,RM 836 000,4 Bedrooms,4 Bathrooms,1470 sq.ft.,Bayan Lepas,"Today, 10:25",https://www.mudah.my/Quaywest+residence-90679833.htm
Imperial grande sungai ara,Apartments,RM 488 510,3 Bedrooms,2 Bathrooms,1000 sq.ft.,Bayan Lepas,"Today, 10:25",https://www.mudah.my/Imperial+grande+sungai+ara-90679640.htm
One World 1,Apartments,RM 495 000,3 Bedrooms,2 Bathrooms,1370 sq.ft.,Bayan Lepas,"Today, 10:19",https://www.mudah.my/One+World+1-90913591.htm
ARTES ARTE S 1353SF 2CP Brand New Unit CHEAP BUKIT GAMBIER GELUGOR USM,Apartments,RM 630 000,3 Bedrooms,2 Bathrooms,1353 sq.ft.,Gelugor,"Today, 10:10",https://www.mudah.my/ARTES+ARTE+S+1353SF+2CP+Brand+New+Unit+CHEAP+BUKIT+GAMBIER+GELUGOR+USM-91751589.htm
ARTES ARTE S 1314SF 2CP FullRenoFurnish HILL VIEW GELUGOR USM CHEAPEST,Apartments,RM 700 000,3 Bedrooms,2 Bathrooms,1314 sq.ft.,Gelugor,"Today, 10:10",https://www.mudah.my/ARTES+ARTE+S+1314SF+2CP+FullRenoFurnish+HILL+VIEW+GELUGOR+USM+CHEAPEST-91751572.htm
