Title,Types,Price,Bedrooms,Bathrooms,Areas,Location,Release Date,Url
THE RISE COLLECTION 3 1000SF 2CP Brand New SUNGAI PINANG GEORGETOWN,Apartments,RM 550 000,3 Bedrooms,2 Bathrooms,1000 sq.ft.,Georgetown,"Today, 14:55",https://www.mudah.my/THE+RISE+COLLECTION+3+1000SF+2CP+Brand+New+SUNGAI+PINANG+GEORGETOWN-91755388.htm
Taman Bunga Merah Near to USM,Apartments,RM 280 000,3 Bedrooms,2 Bathrooms,700 sq.ft.,Gelugor,"Today, 14:49",https://www.mudah.my/Taman+Bunga+Merah+Near+to+USM-91755493.htm
PUNCAK ERSKINE 700sf 1 Fix Carpark Good Condition Well Maintain Unit,Apartments,RM 155 000,3 Bedrooms,2 Bathrooms,700 sq.ft.,Tanjong Tokong,"Today, 14:45",https://www.mudah.my/PUNCAK+ERSKINE+700sf+1+Fix+Carpark+Good+Condition+Well+Maintain+Unit-91755331.htm
PUNCAK ERSKINE 700sf BRAND NEW RENOVATION UNIT HIGH FLOOR [WORTH],Apartments,RM 140 000,3 Bedrooms,2 Bathrooms,700 sq.ft.,Tanjong Tokong,"Today, 14:45",https://www.mudah.my/PUNCAK+ERSKINE+700sf+BRAND+NEW+RENOVATION+UNIT+HIGH+FLOOR+WORTH+-91755321.htm
PUNCAK ERSKINE 1Fixed CP Well Maintained FEW UNIT ON HAND [WORTH BUY],Apartments,RM 155 000,3 Bedrooms,2 Bathrooms,700 sq.ft.,Tanjong Tokong,"Today, 14:45",https://www.mudah.my/PUNCAK+ERSKINE+1Fixed+CP+Well+Maintained+FEW+UNIT+ON+HAND+WORTH+BUY+-91755315.htm
SINAR BUKIT DUMBAR 700SF 1CP LowDownPayment BATU UBAN CHEAP MANY UNITS,Apartments,RM 298 000,3 Bedrooms,2 Bathrooms,700 sq.ft.,Bukit Dumbar,"Today, 14:40",https://www.mudah.my/SINAR+BUKIT+DUMBAR+700SF+1CP+LowDownPayment+BATU+UBAN+CHEAP+MANY+UNITS-91581820.htm
SINAR BUKIT DUMBAR 700SF 1CP WORTHBUY LowDownPayment BATU UBAN CHEAP,Apartments,RM 300 000,3 Bedrooms,2 Bathrooms,700 sq.ft.,Bukit Dumbar,"Today, 14:40",https://www.mudah.my/SINAR+BUKIT+DUMBAR+700SF+1CP+WORTHBUY+LowDownPayment+BATU+UBAN+CHEAP-91581790.htm
SINAR BUKIT DUMBAR 750SF 1CPak PartiallyFurnish Reno BATU UBAN CORNER,Apartments,RM 320 000,3 Bedrooms,2 Bathrooms,750 sq.ft.,Bukit Dumbar,"Today, 14:40",https://www.mudah.my/SINAR+BUKIT+DUMBAR+750SF+1CPak+PartiallyFurnish+Reno+BATU+UBAN+CORNER-91213531.htm
SINAR BUKIT DUMBAR 750SF 1CPak WORTHBUY LowDownPayment BATU UBAN CHEAP,Apartments,RM 310 000,3 Bedrooms,2 Bathrooms,750 sq.ft.,Bukit Dumbar,"Today, 14:40",https://www.mudah.my/SINAR+BUKIT+DUMBAR+750SF+1CPak+WORTHBUY+LowDownPayment+BATU+UBAN+CHEAP-89283364.htm
"EXO Residence, Juru Sentral. Icon City, Bukit Tengah. 3 Carparks",Apartments,RM 700 000,3 Bedrooms,3 Bathrooms,1442 sq.ft.,Bukit Tengah,"Today, 14:37",https://www.mudah.my/EXO+Residence+Juru+Sentral+Icon+City+Bukit+Tengah+3+Carparks-90067436.htm
SUNNY VILLE 1100SF 2CPark FullyReno SeaView BATU UBAN USM WORTH BUY,Apartments,RM 450 000,3 Bedrooms,2 Bathrooms,1100 sq.ft.,Batu Uban,"Today, 14:35",https://www.mudah.my/SUNNY+VILLE+1100SF+2CPark+FullyReno+SeaView+BATU+UBAN+USM+WORTH+BUY-91212384.htm
SUNNY VILLE 1000SF 2CPak FullyReno SeaView BATU UBAN/USM WORTH BUY,Apartments,RM 450 000,3 Bedrooms,2 Bathrooms,1000 sq.ft.,Batu Uban,"Today, 14:35",https://www.mudah.my/SUNNY+VILLE+1000SF+2CPak+FullyReno+SeaView+BATU+UBAN+USM+WORTH+BUY-89696525.htm
SUNNY VILLE 1000SF 1CP FullyRenoFurnish SeaView USM BATU UBAN CHEAPEST,Apartments,RM 390 000,3 Bedrooms,2 Bathrooms,1000 sq.ft.,Batu Uban,"Today, 14:35",https://www.mudah.my/SUNNY+VILLE+1000SF+1CP+FullyRenoFurnish+SeaView+USM+BATU+UBAN+CHEAPEST-89591152.htm
Pinang Laguna _ Fully Furnished _ 3 Rooms _Prai near BM,Apartments,RM 350 000,3 Bedrooms,2 Bathrooms,945 sq.ft.,Perai,"Today, 14:25",https://www.mudah.my/Pinang+Laguna+_+Fully+Furnished+_+3+Rooms+_Prai+near+BM-90834726.htm
3cps The Cove Beachfront Super Condo Seafront Tanjung Bungah 6000sf,Apartments,RM 3 450 000,5 Bedrooms,6 Bathrooms,6000 sq.ft.,Tanjung Bungah,"Today, 14:24",https://www.mudah.my/3cps+The+Cove+Beachfront+Super+Condo+Seafront+Tanjung+Bungah+6000sf-87593920.htm
THE RISE COLLECTION 3 1000SF 2CP Key On Hand SUNGAI PINANG GEORGETOWN,Apartments,RM 500 000,3 Bedrooms,2 Bathrooms,1000 sq.ft.,Georgetown,"Today, 14:20",https://www.mudah.my/THE+RISE+COLLECTION+3+1000SF+2CP+Key+On+Hand+SUNGAI+PINANG+GEORGETOWN-91575801.htm
THE RISE COLLECTION 3 1000SF 2CP BrandNewUnit SUNGAI PINANG GEORGETOWN,Apartments,RM 520 000,3 Bedrooms,2 Bathrooms,1000 sq.ft.,Georgetown,"Today, 14:20",https://www.mudah.my/THE+RISE+COLLECTION+3+1000SF+2CP+BrandNewUnit+SUNGAI+PINANG+GEORGETOWN-90069216.htm
"Sierra residence condo , bayan lepas , full loan",Apartments,RM 388 000,3 Bedrooms,2 Bathrooms,900 sq.ft.,Sungai Ara,"Today, 14:01",https://www.mudah.my/Sierra+residence+condo+bayan+lepas+full+loan-82048900.htm
3cps Full Seaview The Cove Beachfront Super Condo Below Market & Value,Apartments,RM 3 450 000,5 Bedrooms,6 Bathrooms,6000 sq.ft.,Tanjung Bungah,"Today, 13:59",https://www.mudah.my/3cps+Full+Seaview+The+Cove+Beachfront+Super+Condo+Below+Market+Value-90019892.htm
Taman Pantai Intan Apartment,Apartments,RM 155 000,3 Bedrooms,2 Bathrooms,726 sq.ft.,Bagan Ajam,"Today, 13:50",https://www.mudah.my/Taman+Pantai+Intan+Apartment-91594480.htm
【Bayu Nyaman】Bayan Lepas Apartment Nice Renovated Good Deal,Apartments,RM 170 000,3 Bedrooms,1 Bathroom,680 sq.ft.,Bayan Lepas,"Today, 13:43",https://www.mudah.my/+Bayu+Nyaman+Bayan+Lepas+Apartment+Nice+Renovated+Good+Deal-91754720.htm
