Title,Price,Bedrooms,Bathrooms,Areas,Location,Release Date,Url
"Partly Furnish Double Storey Terrace House, PRESINT 11, PUTRAJAYA",675000,4,3,2100,Putrajaya,"Yesterday, 23:35",https://www.mudah.my/Partly+Furnish+Double+Storey+Terrace+House+PRESINT+11+PUTRAJAYA-88613104.htm
"EXCLUSIVE!FULLY RENOVATED Double Storey Presint 16, Putrajaya For Sale",980000,4,3,2300,Putrajaya,"Yesterday, 23:22",https://www.mudah.my/EXCLUSIVE+FULLY+RENOVATED+Double+Storey+Presint+16+Putrajaya+For+Sale-88520491.htm
Corner lot double storey presint 11 putrajaya,880000,4,3,1650,Putrajaya,"Yesterday, 22:50",https://www.mudah.my/Corner+lot+double+storey+presint+11+putrajaya-88612465.htm
"2.5 storey intermediate semi-d house for sale in presint 8, putrajaya",1850000,5,5,3500,Putrajaya,"Yesterday, 22:41",https://www.mudah.my/2+5+storey+intermediate+semi+d+house+for+sale+in+presint+8+putrajaya-88519881.htm
"FACING OPEN SEMI D 1.5 Stry, Tmn Desa Damai, Sg Merab, near Putrajaya",640000,4,3,3200,Putrajaya,"Yesterday, 22:03",https://www.mudah.my/FACING+OPEN+SEMI+D+1+5+Stry+Tmn+Desa+Damai+Sg+Merab+near+Putrajaya-88612066.htm
‼️ BELOW MARKET VALUE - NEW DOUBLE STOREY ‼️,488000,4,3,2200,Putrajaya,"Yesterday, 22:00",https://www.mudah.my/+BELOW+MARKET+VALUE+NEW+DOUBLE+STOREY+-88460340.htm
‼️ UNDER MARKET VALUE - NEW SINGLE STOREY ‼️,360000,3,2,1016,Putrajaya,"Yesterday, 21:50",https://www.mudah.my/+UNDER+MARKET+VALUE+NEW+SINGLE+STOREY+-88460329.htm
Luxury Bungalow with Private Pool & Lift Putrajaya,2856750,6,6,4557,Putrajaya,"Yesterday, 21:05",https://www.mudah.my/Luxury+Bungalow+with+Private+Pool+Lift+Putrajaya-88611228.htm
"Double Storey Terrace 22x70, Presint 11, Putrajaya [Flexible Deposit]",675000,4,3,2100,Putrajaya,"Yesterday, 20:45",https://www.mudah.my/Double+Storey+Terrace+22x70+Presint+11+Putrajaya+Flexible+Deposit+-88543300.htm
ENDLOT RENO OPEN FACING Presint 14 Putrajaya Double Srorey Terrace,850000,4,3,2185,Putrajaya,"Yesterday, 20:25",https://www.mudah.my/ENDLOT+RENO+OPEN+FACING+Presint+14+Putrajaya+Double+Srorey+Terrace-88595709.htm
Rumah Teres 2 Tingkat Presint 11 Putrajaya,675000,4,3,2100,Putrajaya,"Yesterday, 20:03",https://www.mudah.my/Rumah+Teres+2+Tingkat+Presint+11+Putrajaya-88516870.htm
[ CHEAPEST + FURNISHED ] Semi D Semi Detached Presint 16 Putrajaya,1100000,4,3,3000,Putrajaya,"Yesterday, 19:45",https://www.mudah.my/+CHEAPEST+FURNISHED+Semi+D+Semi+Detached+Presint+16+Putrajaya-86854924.htm
[SERA FACING SOUTH] 3 Storey Semi D Twin VIlla Precint 8 Putrajaya,1950000,6,6,4500,Putrajaya,"Yesterday, 19:05",https://www.mudah.my/+SERA+FACING+SOUTH+3+Storey+Semi+D+Twin+VIlla+Precint+8+Putrajaya-88575293.htm
Free Legal SemiD Private Pool & lif big carporch 6 bed near Alamanda,2414599,6,7,3207,Putrajaya,"Yesterday, 18:53",https://www.mudah.my/Free+Legal+SemiD+Private+Pool+lif+big+carporch+6+bed+near+Alamanda-86695452.htm
"[BIG LAND SIZE!!!] 2 Storey Terrace Presint 11, Putrajaya FREEHOLD",675000,4,3,2100,Putrajaya,"Yesterday, 18:05",https://www.mudah.my/+BIG+LAND+SIZE+2+Storey+Terrace+Presint+11+Putrajaya+FREEHOLD-88608923.htm
"{SPACIOUS} Putrajaya Presint 14, Freehold, Good Condition Semi D",1350000,5,5,3200,Putrajaya,"Yesterday, 18:00",https://www.mudah.my/+SPACIOUS+Putrajaya+Presint+14+Freehold+Good+Condition+Semi+D-88533697.htm
FULLY RENOVATED Double Storey Presint 16 Putrajaya,980000,4,3,2400,Putrajaya,"Yesterday, 17:10",https://www.mudah.my/FULLY+RENOVATED+Double+Storey+Presint+16+Putrajaya-88608000.htm
