Title,Price,Bedrooms,Bathrooms,Areas,Per Sq Ft,Location,Url
Symphony S2 Heights 2-Sty Link House,470000,4,3,2255,208,Seremban,https://www.mudah.my/Symphony+S2+Heights+2+Sty+Link+House-88611442.htm
"Booking 1K, Single Storey Taman Jasper Jaya Seremban",245000,3,2,1200,204,Seremban,https://www.mudah.my/Booking+1K+Single+Storey+Taman+Jasper+Jaya+Seremban-88611314.htm
Endlot taman bukit kristal seremban,245000,3,2,1400,175,Seremban,https://www.mudah.my/Endlot+taman+bukit+kristal+seremban-88133761.htm
Endlot taman seruling jaya seremban near tol,355000,4,4,1200,296,Seremban,https://www.mudah.my/Endlot+taman+seruling+jaya+seremban+near+tol-88105736.htm
FULLY FURNISHED Semi-D Marrakech Twin Villa Kota Seriemas Nilai,650000,4,3,3600,181,Nilai,https://www.mudah.my/FULLY+FURNISHED+Semi+D+Marrakech+Twin+Villa+Kota+Seriemas+Nilai-88611047.htm
Hot property!!! house for sale in tiara sendayan,450000,4,3,2199,205,Port Dickson,https://www.mudah.my/Hot+property+house+for+sale+in+tiara+sendayan-88611024.htm
Corner lot double storey laman bakawali kota seriemas nilai klia,500000,4,3,2799,179,Nilai,https://www.mudah.my/Corner+lot+double+storey+laman+bakawali+kota+seriemas+nilai+klia-88610860.htm
"House Taman Seremban Jaya, Senawang KEJIRANAN NON BUMI",280000,3,3,1100,255,Senawang,https://www.mudah.my/House+Taman+Seremban+Jaya+Senawang+KEJIRANAN+NON+BUMI-87877918.htm
Nice house to let go,390000,3,2,1400,279,Lenggeng,https://www.mudah.my/Nice+house+to+let+go-88610893.htm
"'24 X 74' - Double Storey Terrace House, Laman Azalea, Nilai Impian",594999,4,4,1774,335,Nilai,https://www.mudah.my/+24+X+74+Double+Storey+Terrace+House+Laman+Azalea+Nilai+Impian-87333453.htm
RENOVATED+FURNISHED 2 Storey Terrace Perdana College Height Pajam Nila,400000,4,4,1800,222,Nilai,https://www.mudah.my/RENOVATED+FURNISHED+2+Storey+Terrace+Perdana+College+Height+Pajam+Nila-88324848.htm
NEAR UITM Single Storey Terrace House Seremban 3,290000,3,2,1300,223,Seremban,https://www.mudah.my/NEAR+UITM+Single+Storey+Terrace+House+Seremban+3-88610330.htm
(FULLY FURNISHED 2STOREY) Laman Villa Lavender Height Senawang,610000,4,3,3318,184,Senawang,https://www.mudah.my/+FULLY+FURNISHED+2STOREY+Laman+Villa+Lavender+Height+Senawang-85805701.htm
Hot Single Storey TAMAN SUNGGALA HARTAMAS PORT DICKSON BELOW MV,275000,4,2,1400,196,Port Dickson,https://www.mudah.my/Hot+Single+Storey+TAMAN+SUNGGALA+HARTAMAS+PORT+DICKSON+BELOW+MV-88516934.htm
RUMAH CANTIK Double Storey Taman Pulai Perdana Sikamat Seremban,510000,4,3,1540,331,Seremban,https://www.mudah.my/RUMAH+CANTIK+Double+Storey+Taman+Pulai+Perdana+Sikamat+Seremban-88610490.htm
[RENO LAWA] Banglo Tuanku Jaafar Golf & Country Club Senawang,460000,4,3,3400,135,Senawang,https://www.mudah.my/+RENO+LAWA+Banglo+Tuanku+Jaafar+Golf+Country+Club+Senawang-88610482.htm
BUILT UP BESAR+4BED 4BATH Double Storey Terrace Taman Mulia Pajam Nila,380000,4,4,2188,174,Nilai,https://www.mudah.my/BUILT+UP+BESAR+4BED+4BATH+Double+Storey+Terrace+Taman+Mulia+Pajam+Nila-88534145.htm
END LOT+NON BUMI+FREEHOLD 2 Storey Terrace Bukit Kepayang Seremban,450000,4,3,2420,186,Seremban,https://www.mudah.my/END+LOT+NON+BUMI+FREEHOLD+2+Storey+Terrace+Bukit+Kepayang+Seremban-88479854.htm
