Title,Price,Bedrooms,Bathrooms,Areas,Location,Url
"Partly Furnish Double Storey Terrace House, PRESINT 11, PUTRAJAYA",RM 675 000,4 Bedrooms,3 Bathrooms,2100 sq.ft.,Putrajaya,https://www.mudah.my/Partly+Furnish+Double+Storey+Terrace+House+PRESINT+11+PUTRAJAYA-88613104.htm
"EXCLUSIVE!FULLY RENOVATED Double Storey Presint 16, Putrajaya For Sale",RM 980 000,4 Bedrooms,3 Bathrooms,2300 sq.ft.,Putrajaya,https://www.mudah.my/EXCLUSIVE+FULLY+RENOVATED+Double+Storey+Presint+16+Putrajaya+For+Sale-88520491.htm
Corner lot double storey presint 11 putrajaya,RM 880 000,4 Bedrooms,3 Bathrooms,1650 sq.ft.,Putrajaya,https://www.mudah.my/Corner+lot+double+storey+presint+11+putrajaya-88612465.htm
"2.5 storey intermediate semi-d house for sale in presint 8, putrajaya",RM 1 850 000,5 Bedrooms,5 Bathrooms,3500 sq.ft.,Putrajaya,https://www.mudah.my/2+5+storey+intermediate+semi+d+house+for+sale+in+presint+8+putrajaya-88519881.htm
"FACING OPEN SEMI D 1.5 Stry, Tmn Desa Damai, Sg Merab, near Putrajaya",RM 640 000,4 Bedrooms,3 Bathrooms,3200 sq.ft.,Putrajaya,https://www.mudah.my/FACING+OPEN+SEMI+D+1+5+Stry+Tmn+Desa+Damai+Sg+Merab+near+Putrajaya-88612066.htm
‼️ BELOW MARKET VALUE - NEW DOUBLE STOREY ‼️,RM 488 000,4 Bedrooms,3 Bathrooms,2200 sq.ft.,Putrajaya,https://www.mudah.my/+BELOW+MARKET+VALUE+NEW+DOUBLE+STOREY+-88460340.htm
‼️ UNDER MARKET VALUE - NEW SINGLE STOREY ‼️,RM 360 000,3 Bedrooms,2 Bathrooms,1016 sq.ft.,Putrajaya,https://www.mudah.my/+UNDER+MARKET+VALUE+NEW+SINGLE+STOREY+-88460329.htm
Luxury Bungalow with Private Pool & Lift Putrajaya,RM 2 856 750,6 Bedrooms,6 Bathrooms,4557 sq.ft.,Putrajaya,https://www.mudah.my/Luxury+Bungalow+with+Private+Pool+Lift+Putrajaya-88611228.htm
"Double Storey Terrace 22x70, Presint 11, Putrajaya [Flexible Deposit]",RM 675 000,4 Bedrooms,3 Bathrooms,2100 sq.ft.,Putrajaya,https://www.mudah.my/Double+Storey+Terrace+22x70+Presint+11+Putrajaya+Flexible+Deposit+-88543300.htm
ENDLOT RENO OPEN FACING Presint 14 Putrajaya Double Srorey Terrace,RM 850 000,4 Bedrooms,3 Bathrooms,2185 sq.ft.,Putrajaya,https://www.mudah.my/ENDLOT+RENO+OPEN+FACING+Presint+14+Putrajaya+Double+Srorey+Terrace-88595709.htm
Rumah Teres 2 Tingkat Presint 11 Putrajaya,RM 675 000,4 Bedrooms,3 Bathrooms,2100 sq.ft.,Putrajaya,https://www.mudah.my/Rumah+Teres+2+Tingkat+Presint+11+Putrajaya-88516870.htm
[ CHEAPEST + FURNISHED ] Semi D Semi Detached Presint 16 Putrajaya,RM 1 100 000,4 Bedrooms,3 Bathrooms,3000 sq.ft.,Putrajaya,https://www.mudah.my/+CHEAPEST+FURNISHED+Semi+D+Semi+Detached+Presint+16+Putrajaya-86854924.htm
[SERA FACING SOUTH] 3 Storey Semi D Twin VIlla Precint 8 Putrajaya,RM 1 950 000,6 Bedrooms,6 Bathrooms,4500 sq.ft.,Putrajaya,https://www.mudah.my/+SERA+FACING+SOUTH+3+Storey+Semi+D+Twin+VIlla+Precint+8+Putrajaya-88575293.htm
Free Legal SemiD Private Pool & lif big carporch 6 bed near Alamanda,RM 2 414 599,6 Bedrooms,7 Bathrooms,3207 sq.ft.,Putrajaya,https://www.mudah.my/Free+Legal+SemiD+Private+Pool+lif+big+carporch+6+bed+near+Alamanda-86695452.htm
"[BIG LAND SIZE!!!] 2 Storey Terrace Presint 11, Putrajaya FREEHOLD",RM 675 000,4 Bedrooms,3 Bathrooms,2100 sq.ft.,Putrajaya,https://www.mudah.my/+BIG+LAND+SIZE+2+Storey+Terrace+Presint+11+Putrajaya+FREEHOLD-88608923.htm
"{SPACIOUS} Putrajaya Presint 14, Freehold, Good Condition Semi D",RM 1 350 000,5 Bedrooms,5 Bathrooms,3200 sq.ft.,Putrajaya,https://www.mudah.my/+SPACIOUS+Putrajaya+Presint+14+Freehold+Good+Condition+Semi+D-88533697.htm
