Title,Types,Price,Bedrooms,Bathrooms,Areas,Location,Release Date,Url,Per-Sqft
Single Storey Terrace House For Sell / 单层排屋出售 Permai,Houses,255000,3,2,1200,Seremban,"Today, 13:50",https://www.mudah.my/Single+Storey+Terrace+House+For+Sell+Permai-89107871.htm,212.5
Double storey bungalow nilai impian,Houses,1750000,5,5,4800,Nilai,"Today, 13:50",https://www.mudah.my/Double+storey+bungalow+nilai+impian-89107616.htm,364.5833333333333
"Single Storey Terrace Hse-Nusari Bayu 1, Bandar Sri Sendayan, Sban, N9",Houses,285000,3,2,1400,Seremban,"Today, 13:41",https://www.mudah.my/Single+Storey+Terrace+Hse+Nusari+Bayu+1+Bandar+Sri+Sendayan+Sban+N9-89107725.htm,203.57142857142858
Single storey terrace house at Tmn Marida senawang B9,Houses,280000,4,2,1632,Senawang,"Today, 13:40",https://www.mudah.my/Single+storey+terrace+house+at+Tmn+Marida+senawang+B9-89096516.htm,171.5686274509804
50*70 ! [UMV] Single Storey Semi-D Taman Bukit Belida View To Offer !!,Houses,458000,4,2,3700,Seremban,"Today, 13:40",https://www.mudah.my/50+70+UMV+Single+Storey+Semi+D+Taman+Bukit+Belida+View+To+Offer+-88951912.htm,123.78378378378379
Seremban Town Taman Permai Duyung Double Storey ! Near Plam Mall !,Houses,355000,4,3,2100,Seremban,"Today, 13:40",https://www.mudah.my/Seremban+Town+Taman+Permai+Duyung+Double+Storey+Near+Plam+Mall+-86423822.htm,169.04761904761904
[22*75] Seremban Permai 3 Single Storey Near Plam Mall & Town !!!,Houses,280000,3,2,1650,Seremban,"Today, 13:40",https://www.mudah.my/+22+75+Seremban+Permai+3+Single+Storey+Near+Plam+Mall+Town+-88555402.htm,169.6969696969697
"LIMITED Freehold Semi-D / 2 Storey 0%D/P Near Highway SEREMBAN , NILAI",Houses,374000,4,4,3713,Nilai,"Today, 13:30",https://www.mudah.my/LIMITED+Freehold+Semi+D+2+Storey+0+D+P+Near+Highway+SEREMBAN+NILAI-85173230.htm,100.7271747912739
End Lot. Single Storey. Tmn Intan Perdana,Houses,190000,3,2,1300,Port Dickson,"Today, 13:27",https://www.mudah.my/End+Lot+Single+Storey+Tmn+Intan+Perdana-89107509.htm,146.15384615384616
[SEREMBAN 2 MAMBAU] Semi-D Brand New Taman Belida,Houses,458000,4,2,3700,Seremban,"Today, 13:25",https://www.mudah.my/+SEREMBAN+2+MAMBAU+Semi+D+Brand+New+Taman+Belida-86530122.htm,123.78378378378379
Harga Murah Double Storey Taman Desa Kolej Nilai Nearby Aeon Nilai,Houses,415000,4,3,1560,Nilai,"Today, 13:20",https://www.mudah.my/Harga+Murah+Double+Storey+Taman+Desa+Kolej+Nilai+Nearby+Aeon+Nilai-76422015.htm,266.02564102564105
"Single storey bungalow Taman Lavender Height, Senawang, Seremban N9",Houses,690000,5,2,6749,Seremban,"Today, 13:20",https://www.mudah.my/Single+storey+bungalow+Taman+Lavender+Height+Senawang+Seremban+N9-88906410.htm,102.23736849903689
"Double Storey Terrace House located at Nearby Hospital Tuanku Jaafar,",Houses,398000,4,3,1300,Seremban,"Today, 13:20",https://www.mudah.my/Double+Storey+Terrace+House+located+at+Nearby+Hospital+Tuanku+Jaafar+-88898859.htm,306.15384615384613
"Bungalow Single Storey -Taman Senawang Perdana, Seremban, N9",Houses,550000,4,2,4000,Seremban,"Today, 13:20",https://www.mudah.my/Bungalow+Single+Storey+Taman+Senawang+Perdana+Seremban+N9-86730456.htm,137.5
"Corner Double storey Terrace House-Nusari Aman, Bandar Sri Sendayan",Houses,830000,4,4,4090,Seremban,"Today, 13:20",https://www.mudah.my/Corner+Double+storey+Terrace+House+Nusari+Aman+Bandar+Sri+Sendayan-86172603.htm,202.93398533007334
"Double Sty Bungalow - Senawang Perdana , Seremban For Sale",Houses,675888,6,4,4000,Senawang,"Today, 13:20",https://www.mudah.my/Double+Sty+Bungalow+Senawang+Perdana+Seremban+For+Sale-81321303.htm,168.972
WTS: Double Sty Link Corner Lot Oakland Seremban,Houses,428888,4,3,2200,Seremban,"Today, 13:15",https://www.mudah.my/WTS+Double+Sty+Link+Corner+Lot+Oakland+Seremban-89000441.htm,194.9490909090909
2 storey terrace taman alamanda senawang,Houses,330000,4,3,1462,Senawang,"Today, 13:15",https://www.mudah.my/2+storey+terrace+taman+alamanda+senawang-88079548.htm,225.71819425444596
2.5 storey renovated bungalow taman south east rahang seremban,Houses,550000,5,3,4625,Seremban,"Today, 13:15",https://www.mudah.my/2+5+storey+renovated+bungalow+taman+south+east+rahang+seremban-89107021.htm,118.91891891891892
[FULLY RENOVATION] Seremban Palm Mall Taman Duyung Permai Rumah Cantik,Houses,354000,4,3,1900,Seremban,"Today, 13:13",https://www.mudah.my/+FULLY+RENOVATION+Seremban+Palm+Mall+Taman+Duyung+Permai+Rumah+Cantik-86552727.htm,186.31578947368422
[FULL LOAN UNDER VALUE] Seremban 3 Uitm Double Storey Near Highway,Houses,330000,5,3,1500,Seremban,"Today, 13:13",https://www.mudah.my/+FULL+LOAN+UNDER+VALUE+Seremban+3+Uitm+Double+Storey+Near+Highway-86551505.htm,220.0
[UNDER VALUE] Seremban Sendayan Nusari Aman [FULL LOAN],Houses,388000,4,3,1400,Seremban,"Today, 13:13",https://www.mudah.my/+UNDER+VALUE+Seremban+Sendayan+Nusari+Aman+FULL+LOAN+-86551337.htm,277.14285714285717
[FULL LOAN] Seremban Town Jasper Jaya [GALENA} [FULL EXTEND],Houses,355000,3,3,1300,Seremban,"Today, 13:11",https://www.mudah.my/+FULL+LOAN+Seremban+Town+Jasper+Jaya+GALENA+FULL+EXTEND+-86530579.htm,273.0769230769231
"House Taman Seremban Jaya, Seremban - KEJIRANAN CHINESE & INDIAN",Houses,280000,3,3,1100,Seremban,"Today, 13:10",https://www.mudah.my/House+Taman+Seremban+Jaya+Seremban+KEJIRANAN+CHINESE+INDIAN-82063564.htm,254.54545454545453
