Title,Types,Price,Bedrooms,Bathrooms,Areas,Location,Release Date,Url
(FULLY FURNISHED 2STOREY) Laman Villa Lavender Height Senawang,Houses,RM 610 000,4 Bedrooms,3 Bathrooms,3318 sq.ft.,Senawang,"Today, 23:15",https://www.mudah.my/+FULLY+FURNISHED+2STOREY+Laman+Villa+Lavender+Height+Senawang-85805701.htm
"Single Storey intermediate Taman Vista Jaya, Lukut, PD",Houses,RM 125 000,3 Bedrooms,2 Bathrooms,1100 sq.ft.,Port Dickson,"Today, 23:14",https://www.mudah.my/Single+Storey+intermediate+Taman+Vista+Jaya+Lukut+PD-86700285.htm
End lot unit.konsep moden,Houses,RM 365 000,3 Bedrooms,3 Bathrooms,1207 sq.ft.,Seremban,"Today, 23:10",https://www.mudah.my/End+lot+unit+konsep+moden-88642588.htm
Banglow.ukiran dalaman yang menarik,Houses,RM 850 000,4 Bedrooms,3 Bathrooms,4500 sq.ft.,Senawang,"Today, 23:10",https://www.mudah.my/Banglow+ukiran+dalaman+yang+menarik-88432536.htm
Prima House Lukut near Tesco PD,Houses,RM 221 616,4 Bedrooms,3 Bathrooms,1535 sq.ft.,Port Dickson,"Today, 23:05",https://www.mudah.my/Prima+House+Lukut+near+Tesco+PD-88102195.htm
"Extra land | (corner lot), double storey laman bakawali, kota seriemas",Houses,RM 530 000,3 Bedrooms,3 Bathrooms,2960 sq.ft.,Nilai,"Today, 23:00",https://www.mudah.my/Extra+land+corner+lot+double+storey+laman+bakawali+kota+seriemas-88323257.htm
"(Reno & Extend) Single Storey Taman Bukit Zamrud, Seremban",Houses,RM 293 000,2 Bedrooms,2 Bathrooms,1540 sq.ft.,Seremban,"Today, 22:55",https://www.mudah.my/+Reno+Extend+Single+Storey+Taman+Bukit+Zamrud+Seremban-88594637.htm
Port dickson's villa bungalow at unbelieveable price for sale!!!,Houses,RM 1 100 000,4 Bedrooms,4 Bathrooms,7200 sq.ft.,Port Dickson,"Today, 22:53",https://www.mudah.my/Port+dickson+s+villa+bungalow+at+unbelieveable+price+for+sale+-87530208.htm
"Corner Lot Single Storey Terrace, Taman Selasih Lukut Port Dickson",Houses,RM 290 000,3 Bedrooms,2 Bathrooms,1080 sq.ft.,Port Dickson,"Today, 22:52",https://www.mudah.my/Corner+Lot+Single+Storey+Terrace+Taman+Selasih+Lukut+Port+Dickson-86185878.htm
Renovated 2-Storey Taman Desa Pinggiran Bayu Mantin Negeri Sembilan,Houses,RM 280 000,3 Bedrooms,2 Bathrooms,883 sq.ft.,Mantin,"Today, 22:48",https://www.mudah.my/Renovated+2+Storey+Taman+Desa+Pinggiran+Bayu+Mantin+Negeri+Sembilan-88921505.htm
