Title,Types,Price,Bedrooms,Bathrooms,Areas,Location,Release Date,Url
Capri Park Condo Partially Furnished for Rent at Butterworth,Apartments,RM 1 200 per month,4 Bedrooms,2 Bathrooms,1570 sq.ft.,Butterworth,"Today, 20:35",https://www.mudah.my/Capri+Park+Condo+Partially+Furnished+for+Rent+at+Butterworth-90132075.htm
"[CHEAPEST RENTAL] Gardens Ville at Sungai Ara 1115sf unit, 2 Car Parks",Apartments,RM 1 000 per month,3 Bedrooms,2 Bathrooms,1115 sq.ft.,Sungai Ara,"Today, 20:30",https://www.mudah.my/+CHEAPEST+RENTAL+Gardens+Ville+at+Sungai+Ara+1115sf+unit+2+Car+Parks-90132036.htm
City Residence FURNISHED MOVE IN For Rent at Tanjong Tokong,Apartments,RM 3 000 per month,3 Bedrooms,2 Bathrooms,1250 sq.ft.,Tanjong Tokong,"Today, 20:29",https://www.mudah.my/City+Residence+FURNISHED+MOVE+IN+For+Rent+at+Tanjong+Tokong-90132161.htm
Golden Triangle FURNISHED 2 CAR PARK For Rent at Sungai Ara,Apartments,RM 1 300 per month,2 Bedrooms,2 Bathrooms,1315 sq.ft.,Sungai Ara,"Today, 20:27",https://www.mudah.my/Golden+Triangle+FURNISHED+2+CAR+PARK+For+Rent+at+Sungai+Ara-90132136.htm
The Peak High End Condo,Apartments,RM 1 500 per month,3 Bedrooms,2 Bathrooms,1100 sq.ft.,Tanjong Tokong,"Today, 20:17",https://www.mudah.my/The+Peak+High+End+Condo-90132019.htm
N park fully furnished,Apartments,RM 1 000 per month,3 Bedrooms,2 Bathrooms,700 sq.ft.,Batu Uban,"Today, 20:15",https://www.mudah.my/N+park+fully+furnished-90000970.htm
Sunway Ceria Bukit Gambier 650sf Renovated Low Density Freehold NICE !,Apartments,RM 259 000 per month,3 Bedrooms,2 Bathrooms,650 sq.ft.,Gelugor,"Today, 20:04",https://www.mudah.my/Sunway+Ceria+Bukit+Gambier+650sf+Renovated+Low+Density+Freehold+NICE+-90131869.htm
[Cheapest] The Boulevard Condominium Ayer Itam Farlim,Apartments,RM 1 000 per month,3 Bedrooms,2 Bathrooms,965 sq.ft.,Ayer Itam,"Today, 19:50",https://www.mudah.my/+Cheapest+The+Boulevard+Condominium+Ayer+Itam+Farlim-90131509.htm
Tri pinnacle condo 8 min to gurney plaza skypool skygym nice condition,Apartments,RM 1 300 per month,3 Bedrooms,2 Bathrooms,800 sq.ft.,Persiaran Gurney,"Today, 19:49",https://www.mudah.my/Tri+pinnacle+condo+8+min+to+gurney+plaza+skypool+skygym+nice+condition-90131686.htm
[ cheapest rental tri pinnacle tanjung tokong ] near gurney | tarc,Apartments,RM 1 300 per month,3 Bedrooms,2 Bathrooms,800 sq.ft.,Tanjong Tokong,"Today, 19:47",https://www.mudah.my/+cheapest+rental+tri+pinnacle+tanjung+tokong+near+gurney+tarc-90131577.htm
Jelutong seaview condo | furnished | 1270sft | sungai pinang |,Apartments,RM 1 800 per month,3 Bedrooms,2 Bathrooms,1270 sq.ft.,Georgetown,"Today, 19:30",https://www.mudah.my/Jelutong+seaview+condo+furnished+1270sft+sungai+pinang+-90131245.htm
Victoria Height 950sf 1 Car Park Kitchen Cabinet Near Queensbay Mall,Apartments,RM 800 per month,3 Bedrooms,2 Bathrooms,950 sq.ft.,Sungai Ara,"Today, 19:26",https://www.mudah.my/Victoria+Height+950sf+1+Car+Park+Kitchen+Cabinet+Near+Queensbay+Mall-90131405.htm
Above sunshine jelutong | fully aircond | low density | georgetown |,Apartments,RM 1 800 per month,3 Bedrooms,2 Bathrooms,1270 sq.ft.,Jelutong,"Today, 19:25",https://www.mudah.my/Above+sunshine+jelutong+fully+aircond+low+density+georgetown+-90131196.htm
[Cheapest] The Latitude Condominium Tanjung Tokong Two Carpark,Apartments,RM 1 700 per month,4 Bedrooms,3 Bathrooms,1500 sq.ft.,Tanjong Tokong,"Today, 19:10",https://www.mudah.my/+Cheapest+The+Latitude+Condominium+Tanjung+Tokong+Two+Carpark-90130986.htm
CAR PARK the promenade close to 1precinct bayan baru ,Apartments,RM 120 per month,1 Bedroom,1 Bathroom,455 sq.ft.,Bayan Baru,"Today, 19:05",https://www.mudah.my/CAR+PARK+the+promenade+close+to+1precinct+bayan+baru+-90130926.htm
Bay residence - studio (vacant now),Apartments,RM 1 500 per month,1 Bedroom,1 Bathroom,450 sq.ft.,Bayan Lepas,"Today, 19:05",https://www.mudah.my/Bay+residence+studio+vacant+now+-90130904.htm
Summer Place Kapal Singh Jelutong 2 Carpark Fully Furnished Renovated,Apartments,RM 1 850 per month,3 Bedrooms,2 Bathrooms,1050 sq.ft.,Jelutong,"Today, 19:03",https://www.mudah.my/Summer+Place+Kapal+Singh+Jelutong+2+Carpark+Fully+Furnished+Renovated-90131035.htm
Sri Wangsa 2 Jelutong Renovate New Furbished 3 Aircond Kitchen Cabinet,Apartments,RM 950 per month,3 Bedrooms,2 Bathrooms,650 sq.ft.,Jelutong,"Today, 19:03",https://www.mudah.my/Sri+Wangsa+2+Jelutong+Renovate+New+Furbished+3+Aircond+Kitchen+Cabinet-90131034.htm
BAY RESIDENCE - 3 ROOM UNIT (vacant now),Apartments,RM 1 800 per month,3 Bedrooms,2 Bathrooms,872 sq.ft.,Bayan Lepas,"Today, 19:02",https://www.mudah.my/BAY+RESIDENCE+3+ROOM+UNIT+vacant+now+-90131021.htm
The Clovers / Clover Move In Condition 1598sf Private Lift Bayan Lepas,Apartments,RM 1 400 per month,3 Bedrooms,2 Bathrooms,1598 sq.ft.,Sungai Ara,"Today, 18:50",https://www.mudah.my/The+Clovers+Clover+Move+In+Condition+1598sf+Private+Lift+Bayan+Lepas-90130610.htm
Golden Triangle partially furnished,Apartments,RM 1 000 per month,3 Bedrooms,2 Bathrooms,1165 sq.ft.,Relau,"Today, 18:50",https://www.mudah.my/Golden+Triangle+partially+furnished-90130692.htm
Taman Pekaka Block 33,Apartments,RM 700 per month,3 Bedrooms,2 Bathrooms,750 sq.ft.,Gelugor,"Today, 18:47",https://www.mudah.my/Taman+Pekaka+Block+33-90130848.htm
Sensasi Utropolis Dual Key Studio | Batu Kawan | Bandar Cassia,Apartments,RM 1 200 per month,1 Bedroom,1 Bathroom,500 sq.ft.,Batu Kawan,"Today, 18:42",https://www.mudah.my/Sensasi+Utropolis+Dual+Key+Studio+Batu+Kawan+Bandar+Cassia-90130785.htm
E Park Epark E-Park High Floor Blk C Fully Furnish RENOVATED Batu Uban,Apartments,RM 1 200 per month,3 Bedrooms,2 Bathrooms,1000 sq.ft.,Gelugor,"Today, 18:40",https://www.mudah.my/E+Park+Epark+E+Park+High+Floor+Blk+C+Fully+Furnish+RENOVATED+Batu+Uban-89887445.htm
Pangsapuri Aked for Rent,Apartments,RM 600 per month,3 Bedrooms,2 Bathrooms,1000 sq.ft.,Bagan Ajam,"Today, 18:37",https://www.mudah.my/Pangsapuri+Aked+for+Rent-90130685.htm
Arena Residence Condo Bandar Sunway Tunas Bayan Baru 2 Car Park,Apartments,RM 2 100 per month,3 Bedrooms,2 Bathrooms,1260 sq.ft.,Bayan Baru,"Today, 18:30",https://www.mudah.my/Arena+Residence+Condo+Bandar+Sunway+Tunas+Bayan+Baru+2+Car+Park-90130349.htm
The Rise Collection Georgetown Time Square 900SF,Apartments,RM 1 100 per month,3 Bedrooms,3 Bathrooms,900 sq.ft.,Georgetown,"Today, 18:30",https://www.mudah.my/The+Rise+Collection+Georgetown+Time+Square+900SF-90130342.htm
Block C N PARK Move In Condition near Sungai Dua USM FEW UNITS On Hand,Apartments,RM 1 000 per month,3 Bedrooms,2 Bathrooms,700 sq.ft.,Gelugor,"Today, 18:30",https://www.mudah.my/Block+C+N+PARK+Move+In+Condition+near+Sungai+Dua+USM+FEW+UNITS+On+Hand-90130338.htm
Fully Furnished | Utropolis in Batu Kawan Next to IKEA UOW,Apartments,RM 1 200 per month,1 Bedroom,1 Bathroom,450 sq.ft.,Batu Kawan,"Today, 18:30",https://www.mudah.my/Fully+Furnished+Utropolis+in+Batu+Kawan+Next+to+IKEA+UOW-87397544.htm
"(SUPER LUXURY INTERIOR DESIGN) at Tropicana Bay Residence, Bayan Lepas",Apartments,RM 3 000 per month,3 Bedrooms,2 Bathrooms,871 sq.ft.,Bayan Lepas,"Today, 18:27",https://www.mudah.my/+SUPER+LUXURY+INTERIOR+DESIGN+at+Tropicana+Bay+Residence+Bayan+Lepas-87697838.htm
"(FULLY FURNISHED and FULLY RENOVATED) at Pantai Apartment, Butterworth",Apartments,RM 1 000 per month,3 Bedrooms,2 Bathrooms,920 sq.ft.,Butterworth,"Today, 18:26",https://www.mudah.my/+FULLY+FURNISHED+and+FULLY+RENOVATED+at+Pantai+Apartment+Butterworth-88879648.htm
N park npark n-park cheapest fully furnished reno near usm.batu uban,Apartments,RM 1 000 per month,3 Bedrooms,2 Bathrooms,700 sq.ft.,Batu Uban,"Today, 18:25",https://www.mudah.my/N+park+npark+n+park+cheapest+fully+furnished+reno+near+usm+batu+uban-88972747.htm
U garden condo cheapest fully furnished reno near taman utama u-garden,Apartments,RM 1 200 per month,3 Bedrooms,2 Bathrooms,700 sq.ft.,Gelugor,"Today, 18:25",https://www.mudah.my/U+garden+condo+cheapest+fully+furnished+reno+near+taman+utama+u+garden-86423467.htm
Suasana Condo Fully Furnished | Batu Kawan | Utropolis IKEA,Apartments,RM 2 000 per month,3 Bedrooms,2 Bathrooms,926 sq.ft.,Batu Kawan,"Today, 18:25",https://www.mudah.my/Suasana+Condo+Fully+Furnished+Batu+Kawan+Utropolis+IKEA-90130271.htm
Rifle range flat,Apartments,RM 420 per month,1 Bedroom,1 Bathroom,376 sq.ft.,Ayer Itam,"Today, 18:24",https://www.mudah.my/Rifle+range+flat-90130451.htm
City Residence Condominium Tanjong Tokong Studio Move In Condition,Apartments,RM 2 300 per month,1 Bedroom,2 Bathrooms,660 sq.ft.,Tanjong Tokong,"Today, 18:21",https://www.mudah.my/City+Residence+Condominium+Tanjong+Tokong+Studio+Move+In+Condition-90130414.htm
