Title,Types,Price,Bedrooms,Bathrooms,Areas,Location,Release Date,Url
3 storey full renovated,Houses,RM 850 000,5 Bedrooms,6 Bathrooms,2432 sq.ft.,Sungai Dua,"Today, 17:10",https://www.mudah.my/3+storey+full+renovated-90792386.htm
For Sales | Abel Residence | Low Density | Icon City | Bukit Mertajam,Apartments,RM 525 000,3 Bedrooms,2 Bathrooms,1190 sq.ft.,Bukit Mertajam,"Today, 17:10",https://www.mudah.my/For+Sales+Abel+Residence+Low+Density+Icon+City+Bukit+Mertajam-90792373.htm
THE OASIS (Block A - Low Dense) | Modern Renovation | Facility View,Apartments,RM 540 000,3 Bedrooms,2 Bathrooms,1040 sq.ft.,Gelugor,"Today, 17:10",https://www.mudah.my/THE+OASIS+Block+A+Low+Dense+Modern+Renovation+Facility+View-90582920.htm
The Oasis Condo (Block C) | Cozy House | Nice View (VALUE FOR MONEY),Apartments,RM 510 000,3 Bedrooms,2 Bathrooms,1041 sq.ft.,Gelugor,"Today, 17:10",https://www.mudah.my/The+Oasis+Condo+Block+C+Cozy+House+Nice+View+VALUE+FOR+MONEY+-90582917.htm
[1320sf - POOL+SEAVIEW] Tropicana Bay Residences (PWC) | 2 CarPark SBS,Apartments,RM 780 000,3 Bedrooms,3 Bathrooms,1320 sq.ft.,Bayan Lepas,"Today, 17:10",https://www.mudah.my/+1320sf+POOL+SEAVIEW+Tropicana+Bay+Residences+PWC+2+CarPark+SBS-90582905.htm
Last Lot- Tanah Lot Besar Depan Jalan Besar,Land,RM 120 000,Freehold,Others,0.1 Acres,Jawi,"Today, 17:07",https://www.mudah.my/Last+Lot+Tanah+Lot+Besar+Depan+Jalan+Besar-89604446.htm
Senzville Residence SENZO Sungai Ara 1180SQFT Original Unit 3 CAR PARK,Apartments,RM 610 000,3 Bedrooms,2 Bathrooms,1180 sq.ft.,Sungai Ara,"Today, 16:50",https://www.mudah.my/Senzville+Residence+SENZO+Sungai+Ara+1180SQFT+Original+Unit+3+CAR+PARK-89760408.htm
Sunway Wellesley townhouse,Houses,RM 630 000,3 Bedrooms,2 Bathrooms,1636 sq.ft.,Bukit Mertajam,"Today, 16:50",https://www.mudah.my/Sunway+Wellesley+townhouse-90792281.htm
Double Storey Terrace Taman Bayu Mutiara Near Icon City Auto City,Houses,RM 599 000,4 Bedrooms,3 Bathrooms,1600 sq.ft.,Bukit Mertajam,"Today, 16:50",https://www.mudah.my/Double+Storey+Terrace+Taman+Bayu+Mutiara+Near+Icon+City+Auto+City-90792065.htm
Elements Garden Condo | Sea View Corner Unit,Apartments,RM 417 000,3 Bedrooms,2 Bathrooms,1104 sq.ft.,Butterworth,"Today, 16:50",https://www.mudah.my/Elements+Garden+Condo+Sea+View+Corner+Unit-89545096.htm
"Taman Perwira Permatang tinggi , Double storey Terrace",Houses,RM 290 000,3 Bedrooms,2 Bathrooms,1120 sq.ft.,Bukit Mertajam,"Today, 16:50",https://www.mudah.my/Taman+Perwira+Permatang+tinggi+Double+storey+Terrace-84228494.htm
Taman Bukit Indah | 2-storey Terrace | FOR SALE,Houses,RM 480 000,4 Bedrooms,3 Bathrooms,1300 sq.ft.,Bukit Mertajam,"Today, 16:49",https://www.mudah.my/Taman+Bukit+Indah+2+storey+Terrace+FOR+SALE-90792243.htm
Greenlane Corner Unit 3Bedroom 2bathroom High Floor Fully Furnished,Apartments,RM 620 000,3 Bedrooms,2 Bathrooms,1300 sq.ft.,Greenlane,"Today, 16:48",https://www.mudah.my/Greenlane+Corner+Unit+3Bedroom+2bathroom+High+Floor+Fully+Furnished-90792216.htm
Low Density Apartment in Gelugor Penang - Rare Unit,Apartments,RM 578 000,3 Bedrooms,2 Bathrooms,1200 sq.ft.,Gelugor,"Today, 16:48",https://www.mudah.my/Low+Density+Apartment+in+Gelugor+Penang+Rare+Unit-90792211.htm
BRAND NEW Sungai Ara Senzvilles Residence 1140SQFT Original Unit,Apartments,RM 580 000,3 Bedrooms,2 Bathrooms,1140 sq.ft.,Sungai Ara,"Today, 16:47",https://www.mudah.my/BRAND+NEW+Sungai+Ara+Senzvilles+Residence+1140SQFT+Original+Unit-88285764.htm
"Single Storey Corner Lot - Taman Remia, Alma, near machang bubok",Houses,RM 388 000,3 Bedrooms,2 Bathrooms,2195 sq.ft.,Bukit Mertajam,"Today, 16:46",https://www.mudah.my/Single+Storey+Corner+Lot+Taman+Remia+Alma+near+machang+bubok-85581072.htm
"Corner single Storey B garden, Perpaduan at town bukit mertajam",Houses,RM 580 000,3 Bedrooms,2 Bathrooms,2640 sq.ft.,Bukit Mertajam,"Today, 16:45",https://www.mudah.my/Corner+single+Storey+B+garden+Perpaduan+at+town+bukit+mertajam-90791964.htm
Tanjung Bungah House near Flamingo Hotel,Houses,RM 790 000,3 Bedrooms,1 Bathroom,1206 sq.ft.,Tanjung Bungah,"Today, 16:45",https://www.mudah.my/Tanjung+Bungah+House+near+Flamingo+Hotel-85458855.htm
Balik Pulau House Selling Cheap New 2 Storey Corner House,Houses,RM 670 000,4 Bedrooms,3 Bathrooms,1950 sq.ft.,Balik Pulau,"Today, 16:45",https://www.mudah.my/Balik+Pulau+House+Selling+Cheap+New+2+Storey+Corner+House-75561029.htm
Great location - affordable price apartment at Free School,Apartments,RM 280 000,2 Bedrooms,2 Bathrooms,710 sq.ft.,Jelutong,"Today, 16:45",https://www.mudah.my/Great+location+affordable+price+apartment+at+Free+School-90792013.htm
Widuri Apartments corner unit full loan raja uda Billion Butterworth,Apartments,RM 172 000,3 Bedrooms,2 Bathrooms,750 sq.ft.,Butterworth,"Today, 16:42",https://www.mudah.my/Widuri+Apartments+corner+unit+full+loan+raja+uda+Billion+Butterworth-89745092.htm
BL Garden at Farlim 700SQFT Fully Renovated 2 CAR PARK,Apartments,RM 380 000,3 Bedrooms,2 Bathrooms,700 sq.ft.,Ayer Itam,"Today, 16:41",https://www.mudah.my/BL+Garden+at+Farlim+700SQFT+Fully+Renovated+2+CAR+PARK-89761015.htm
Bayan lepas mutiara perdana 2 apartment-full loan,Apartments,RM 165 000,2 Bedrooms,2 Bathrooms,530 sq.ft.,Bayan Lepas,"Today, 16:40",https://www.mudah.my/Bayan+lepas+mutiara+perdana+2+apartment+full+loan-90338339.htm
Pearl Villa Mutiara Indah|2 Storey Semi-D| Gated Guarded|Simpang Ampat,Houses,RM 645 000,5 Bedrooms,4 Bathrooms,2900 sq.ft.,Simpang Ampat,"Today, 16:35",https://www.mudah.my/Pearl+Villa+Mutiara+Indah+2+Storey+Semi+D+Gated+Guarded+Simpang+Ampat-90387520.htm
"City Of Dream Fully Equipped (1185 sqft), Gurney Drive, Tanjong Tokong",Apartments,RM 1 550 000,3 Bedrooms,2 Bathrooms,1185 sq.ft.,Tanjong Tokong,"Today, 16:30",https://www.mudah.my/City+Of+Dream+Fully+Equipped+1185+sqft+Gurney+Drive+Tanjong+Tokong-90791729.htm
Ferringhi Delima Worth Buy 721sf Pool View 1 Car Park,Apartments,RM 270 000,3 Bedrooms,2 Bathrooms,721 sq.ft.,Batu Ferringhi,"Today, 16:30",https://www.mudah.my/Ferringhi+Delima+Worth+Buy+721sf+Pool+View+1+Car+Park-90791702.htm
City of Dream Luxury Condominium 1185sf Fully Furnished 2 Car Parks,Apartments,RM 1 500 000,3 Bedrooms,2 Bathrooms,1185 sq.ft.,Tanjong Tokong,"Today, 16:30",https://www.mudah.my/City+of+Dream+Luxury+Condominium+1185sf+Fully+Furnished+2+Car+Parks-90791704.htm
Sunny Ville Condo| Fully furnished &Reno|1 CP| Gelugor,Apartments,RM 458 000,3 Bedrooms,2 Bathrooms,1100 sq.ft.,Gelugor,"Today, 16:30",https://www.mudah.my/Sunny+Ville+Condo+Fully+furnished+Reno+1+CP+Gelugor-90543895.htm
