Title,Types,Price,Bedrooms,Bathrooms,Areas,Location,Release Date,Url
"The Latitude 1600 sf, Cheapest Unit, Corner Unit, High Floor, Seaview",Apartments,RM 800 000,3 Bedrooms,4 Bathrooms,1600 sq.ft.,Tanjong Tokong,"Today, 09:40",https://www.mudah.my/The+Latitude+1600+sf+Cheapest+Unit+Corner+Unit+High+Floor+Seaview-88502808.htm
Tamarind 1047 sf SEAVIEW And TOWN VIEW 2 CP,Apartments,RM 750 000,3 Bedrooms,2 Bathrooms,1047 sq.ft.,Tanjong Tokong,"Today, 09:40",https://www.mudah.my/Tamarind+1047+sf+SEAVIEW+And+TOWN+VIEW+2+CP-88502765.htm
Jazz Suites Residence SEAVIEW 2 Car Parks RENO,Apartments,RM 950 000,2 Bedrooms,2 Bathrooms,1365 sq.ft.,Tanjong Tokong,"Today, 09:40",https://www.mudah.my/Jazz+Suites+Residence+SEAVIEW+2+Car+Parks+RENO-69483319.htm
Fortune Court 1058sqft 1 Carpark Farlim Air Ayer Itam Near Ivory Pasar,Apartments,RM 350 000,3 Bedrooms,2 Bathrooms,1058 sq.ft.,Ayer Itam,"Today, 09:30",https://www.mudah.my/Fortune+Court+1058sqft+1+Carpark+Farlim+Air+Ayer+Itam+Near+Ivory+Pasar-86934110.htm
Desa Permata Block 11 Renovated Paya Terubong Ayer Itam,Apartments,RM 285 000,3 Bedrooms,2 Bathrooms,700 sq.ft.,Paya Terubong,"Today, 09:29",https://www.mudah.my/Desa+Permata+Block+11+Renovated+Paya+Terubong+Ayer+Itam-87148298.htm
Taman Terubong Jaya 860sqft Block 18 1 Carpark Paya Terubong,Apartments,RM 228 000,3 Bedrooms,2 Bathrooms,860 sq.ft.,Paya Terubong,"Today, 09:29",https://www.mudah.my/Taman+Terubong+Jaya+860sqft+Block+18+1+Carpark+Paya+Terubong-87144650.htm
GL Garden 750sqft 1 Carpark Corner Ayer Itam Paya Terubong,Apartments,RM 290 000,3 Bedrooms,2 Bathrooms,750 sq.ft.,Ayer Itam,"Today, 09:29",https://www.mudah.my/GL+Garden+750sqft+1+Carpark+Corner+Ayer+Itam+Paya+Terubong-74502571.htm
Boulevard Farlim 1195sqft 3 CARPARKS Renovated Farlim All Season Place,Apartments,RM 630 000,3 Bedrooms,2 Bathrooms,1195 sq.ft.,Ayer Itam,"Today, 09:29",https://www.mudah.my/Boulevard+Farlim+1195sqft+3+CARPARKS+Renovated+Farlim+All+Season+Place-70666874.htm
BL Avenue 1100sqft 2 Carparks NON GRAVE VIEW Farlim Ayer Itam,Apartments,RM 518 000,3 Bedrooms,2 Bathrooms,1100 sq.ft.,Ayer Itam,"Today, 09:28",https://www.mudah.my/BL+Avenue+1100sqft+2+Carparks+NON+GRAVE+VIEW+Farlim+Ayer+Itam-85567931.htm
Senzvilles 1180sqf 3 CARPARKS High Floor Morning Sun Relau Bayan Lepas,Apartments,RM 598 000,3 Bedrooms,2 Bathrooms,1180 sq.ft.,Relau,"Today, 09:25",https://www.mudah.my/Senzvilles+1180sqf+3+CARPARKS+High+Floor+Morning+Sun+Relau+Bayan+Lepas-87076843.htm
Shineville Park 1650sqft TOWNVIEW Farlim All Season Place Ayer Itam,Apartments,RM 650 000,4 Bedrooms,2 Bathrooms,1650 sq.ft.,Ayer Itam,"Today, 09:25",https://www.mudah.my/Shineville+Park+1650sqft+TOWNVIEW+Farlim+All+Season+Place+Ayer+Itam-89650522.htm
Asia Heights 838sqft 2 CARPARKS CORNER UNIT Hillview Farlim Ayer Itam,Apartments,RM 438 000,3 Bedrooms,2 Bathrooms,838 sq.ft.,Ayer Itam,"Today, 09:24",https://www.mudah.my/Asia+Heights+838sqft+2+CARPARKS+CORNER+UNIT+Hillview+Farlim+Ayer+Itam-88464730.htm
Asia Heights 2 Carparks 838sqft Garden View Farlim BL Business,Apartments,RM 390 000,3 Bedrooms,2 Bathrooms,838 sq.ft.,Ayer Itam,"Today, 09:23",https://www.mudah.my/Asia+Heights+2+Carparks+838sqft+Garden+View+Farlim+BL+Business-87214026.htm
Kiara Indah 950sqft 1 Carpark Corner Unit Paya Terubong Ayer Itam,Apartments,RM 320 000,3 Bedrooms,2 Bathrooms,950 sq.ft.,Paya Terubong,"Today, 09:23",https://www.mudah.my/Kiara+Indah+950sqft+1+Carpark+Corner+Unit+Paya+Terubong+Ayer+Itam-75848827.htm
Delima Palace 2600sqft 3 Carparks Middle Floor Seaview Greenlane,Apartments,RM 1 300 000,4 Bedrooms,5 Bathrooms,2600 sq.ft.,Greenlane,"Today, 09:23",https://www.mudah.my/Delima+Palace+2600sqft+3+Carparks+Middle+Floor+Seaview+Greenlane-75667454.htm
Greenlane Park 1270sqft 2 Carparks High Floor Seaview Jelutong,Apartments,RM 580 000,4 Bedrooms,2 Bathrooms,1270 sq.ft.,Greenlane,"Today, 09:23",https://www.mudah.my/Greenlane+Park+1270sqft+2+Carparks+High+Floor+Seaview+Jelutong-79002765.htm
Central Park 2600sqft 3 CARPARKS Morning Sun Unit Greenlane,Apartments,RM 1 350 000,4 Bedrooms,4 Bathrooms,2600 sq.ft.,Greenlane,"Today, 09:23",https://www.mudah.my/Central+Park+2600sqft+3+CARPARKS+Morning+Sun+Unit+Greenlane-85669110.htm
2 Storey Terrace Land 1400sqft Medan Tembaga Greenlane Island Park,Houses,RM 1 180 000,4 Bedrooms,3 Bathrooms,2000 sq.ft.,Greenlane,"Today, 09:23",https://www.mudah.my/2+Storey+Terrace+Land+1400sqft+Medan+Tembaga+Greenlane+Island+Park-87145363.htm
Scotland Villa 2120sqft 2 Carparks TURF CLUB VIEW Georgetown,Apartments,RM 1 580 000,4 Bedrooms,4 Bathrooms,2120 sq.ft.,Scotland,"Today, 09:22",https://www.mudah.my/Scotland+Villa+2120sqft+2+Carparks+TURF+CLUB+VIEW+Georgetown-63890857.htm
Lahat Court Block 48 Renovated Menara Kuda Lari Georgetown,Apartments,RM 350 000,3 Bedrooms,2 Bathrooms,800 sq.ft.,Georgetown,"Today, 09:22",https://www.mudah.my/Lahat+Court+Block+48+Renovated+Menara+Kuda+Lari+Georgetown-85764960.htm
Central Park 2600sqft Morning Sun High Floor Jelutong Batu Lanchang,Apartments,RM 1 550 000,5 Bedrooms,4 Bathrooms,2600 sq.ft.,Jelutong,"Today, 09:22",https://www.mudah.my/Central+Park+2600sqft+Morning+Sun+High+Floor+Jelutong+Batu+Lanchang-85664851.htm
Kingfisher Greenlane Beside Jay 800sqft 1 Carpark High Floor,Apartments,RM 390 000,3 Bedrooms,2 Bathrooms,800 sq.ft.,Georgetown,"Today, 09:22",https://www.mudah.my/Kingfisher+Greenlane+Beside+Jay+800sqft+1+Carpark+High+Floor-84320500.htm
Platino 2659sqft 3 Carparks High Floor Seaview Gelugor Egate,Apartments,RM 2 280 000,5 Bedrooms,5 Bathrooms,2659 sq.ft.,Gelugor,"Today, 09:22",https://www.mudah.my/Platino+2659sqft+3+Carparks+High+Floor+Seaview+Gelugor+Egate-70338176.htm
Kingfisher Greenlane 800sqft EXTENDED UNIT Poolview,Apartments,RM 420 000,3 Bedrooms,2 Bathrooms,800 sq.ft.,Georgetown,"Today, 09:21",https://www.mudah.my/Kingfisher+Greenlane+800sqft+EXTENDED+UNIT+Poolview-88338773.htm
3 Storey Bungalow 16637sqft Ayer Itam Well Maintained Khoo Hye Keat,Houses,RM 5 900 000,6 Bedrooms,6 Bathrooms,16637 sq.ft.,Ayer Itam,"Today, 09:21",https://www.mudah.my/3+Storey+Bungalow+16637sqft+Ayer+Itam+Well+Maintained+Khoo+Hye+Keat-75731651.htm
