Title,Types,Price,Bedrooms,Bathrooms,Areas,Location,Release Date,Url
2 Sty Semi Detached Batu Uban Pantai Jerjak 3785sf,Houses,2100000.0,4,4,3785,Batu Uban,"Nov 5, 23:35",https://www.mudah.my/2+Sty+Semi+Detached+Batu+Uban+Pantai+Jerjak+3785sf-93024864.htm
2 Sty Terrace House Solok Thaton Pulau Tikus,Houses,1170000.0,4,2,1600,Pulau Tikus,"Nov 5, 23:27",https://www.mudah.my/2+Sty+Terrace+House+Solok+Thaton+Pulau+Tikus-93024907.htm
Setia Pearl Island (Intermediate Corner) - Sg Ara,Houses,1280000.0,5,4,2400,Sungai Ara,"Nov 5, 23:09",https://www.mudah.my/Setia+Pearl+Island+Intermediate+Corner+Sg+Ara-93024765.htm
"Pearl Harmoni , Pearl City , Inter Corner Semid Near Raintree",Houses,485000.0,4,3,1889,Simpang Ampat,"Nov 5, 23:06",https://www.mudah.my/Pearl+Harmoni+Pearl+City+Inter+Corner+Semid+Near+Raintree-91507400.htm
(WORTH BUY) Sunway Tunas Jaya 2 Storey _ Partly Furnish,Houses,800000.0,4,3,1600,Batu Maung,"Nov 5, 23:05",https://www.mudah.my/+WORTH+BUY+Sunway+Tunas+Jaya+2+Storey+_+Partly+Furnish-93024608.htm
"Single Storey,Taman Murai Jaya,14100 Simpang Ampat,S.P.S",Houses,289000.0,3,2,1200,Simpang Ampat,"Nov 5, 22:57",https://www.mudah.my/Single+Storey+Taman+Murai+Jaya+14100+Simpang+Ampat+S+P+S-92996343.htm
3 Sty Terrace Setia Pearl Island- Sg Ara,Houses,1240000.0,5,4,2720,Sungai Ara,"Nov 5, 22:50",https://www.mudah.my/3+Sty+Terrace+Setia+Pearl+Island+Sg+Ara-93024565.htm
Double storey semi d batu ferringhi jalan sungai emas freehold,Houses,1250000.0,5,3,2670,Batu Ferringhi,"Nov 5, 22:50",https://www.mudah.my/Double+storey+semi+d+batu+ferringhi+jalan+sungai+emas+freehold-93024440.htm
2 Permai 3 Storey Terrace Tanjung Bungah Full Reno,Houses,1680000.0,5,5,3400,Tanjung Bungah,"Nov 5, 22:50",https://www.mudah.my/2+Permai+3+Storey+Terrace+Tanjung+Bungah+Full+Reno-93024424.htm
CORNER 2 Storey Terrace House 3240sf BIG GARDEN Lrg Mahsuri CALL ME NW,Houses,1250000.0,5,4,3240,Bayan Baru,"Nov 5, 22:50",https://www.mudah.my/CORNER+2+Storey+Terrace+House+3240sf+BIG+GARDEN+Lrg+Mahsuri+CALL+ME+NW-89265441.htm
"2sty Terrace, PEARL INDAH , SS6 , Near Pearl Residence",Houses,450000.0,4,3,1400,Simpang Ampat,"Nov 5, 22:50",https://www.mudah.my/2sty+Terrace+PEARL+INDAH+SS6+Near+Pearl+Residence-88956037.htm
"Pearl Villas , Corner 2sty , Near Raintree , Pearl Residence",Houses,540000.0,4,3,2110,Simpang Ampat,"Nov 5, 22:50",https://www.mudah.my/Pearl+Villas+Corner+2sty+Near+Raintree+Pearl+Residence-86816384.htm
2 Permai Triple Storey House Full Renovated Tanjung Bungah,Houses,1600000.0,5,5,3400,Tanjung Bungah,"Nov 5, 22:50",https://www.mudah.my/2+Permai+Triple+Storey+House+Full+Renovated+Tanjung+Bungah-93024452.htm
(Hot Area) Raja Uda 2 storey Semi-D - FOR SALE,Houses,998000.0,6,3,2400,Butterworth,"Nov 5, 22:30",https://www.mudah.my/+Hot+Area+Raja+Uda+2+storey+Semi+D+FOR+SALE-93024374.htm
2 Storey Semi Detached 3595sf Batu Uban,Houses,1520000.0,4,3,3595,Batu Uban,"Nov 5, 22:30",https://www.mudah.my/2+Storey+Semi+Detached+3595sf+Batu+Uban-93024233.htm
Setia pearl Island- Sg Ara,Houses,1100000.0,5,4,2400,Sungai Ara,"Nov 5, 22:26",https://www.mudah.my/Setia+pearl+Island+Sg+Ara-93024334.htm
