Title,Types,Price,Bedrooms,Bathrooms,Areas,Location,Release Date,Url
2 Sty Semi Detached Batu Uban Pantai Jerjak 3785sf,Houses,RM 2 100 000,4 Bedrooms,4 Bathrooms,3785 sq.ft.,Batu Uban,"Nov 5, 23:35",https://www.mudah.my/2+Sty+Semi+Detached+Batu+Uban+Pantai+Jerjak+3785sf-93024864.htm
2 Sty Terrace House Solok Thaton Pulau Tikus,Houses,RM 1 170 000,4 Bedrooms,2 Bathrooms,1600 sq.ft.,Pulau Tikus,"Nov 5, 23:27",https://www.mudah.my/2+Sty+Terrace+House+Solok+Thaton+Pulau+Tikus-93024907.htm
Setia Pearl Island (Intermediate Corner) - Sg Ara,Houses,RM 1 280 000,5 Bedrooms,4 Bathrooms,2400 sq.ft.,Sungai Ara,"Nov 5, 23:09",https://www.mudah.my/Setia+Pearl+Island+Intermediate+Corner+Sg+Ara-93024765.htm
"Pearl Harmoni , Pearl City , Inter Corner Semid Near Raintree",Houses,RM 485 000,4 Bedrooms,3 Bathrooms,1889 sq.ft.,Simpang Ampat,"Nov 5, 23:06",https://www.mudah.my/Pearl+Harmoni+Pearl+City+Inter+Corner+Semid+Near+Raintree-91507400.htm
(WORTH BUY) Sunway Tunas Jaya 2 Storey _ Partly Furnish,Houses,RM 800 000,4 Bedrooms,3 Bathrooms,1600 sq.ft.,Batu Maung,"Nov 5, 23:05",https://www.mudah.my/+WORTH+BUY+Sunway+Tunas+Jaya+2+Storey+_+Partly+Furnish-93024608.htm
"Single Storey,Taman Murai Jaya,14100 Simpang Ampat,S.P.S",Houses,RM 289 000,3 Bedrooms,2 Bathrooms,1200 sq.ft.,Simpang Ampat,"Nov 5, 22:57",https://www.mudah.my/Single+Storey+Taman+Murai+Jaya+14100+Simpang+Ampat+S+P+S-92996343.htm
3 Sty Terrace Setia Pearl Island- Sg Ara,Houses,RM 1 240 000,5 Bedrooms,4 Bathrooms,2720 sq.ft.,Sungai Ara,"Nov 5, 22:50",https://www.mudah.my/3+Sty+Terrace+Setia+Pearl+Island+Sg+Ara-93024565.htm
Double storey semi d batu ferringhi jalan sungai emas freehold,Houses,RM 1 250 000,5 Bedrooms,3 Bathrooms,2670 sq.ft.,Batu Ferringhi,"Nov 5, 22:50",https://www.mudah.my/Double+storey+semi+d+batu+ferringhi+jalan+sungai+emas+freehold-93024440.htm
2 Permai 3 Storey Terrace Tanjung Bungah Full Reno,Houses,RM 1 680 000,5 Bedrooms,5 Bathrooms,3400 sq.ft.,Tanjung Bungah,"Nov 5, 22:50",https://www.mudah.my/2+Permai+3+Storey+Terrace+Tanjung+Bungah+Full+Reno-93024424.htm
CORNER 2 Storey Terrace House 3240sf BIG GARDEN Lrg Mahsuri CALL ME NW,Houses,RM 1 250 000,5 Bedrooms,4 Bathrooms,3240 sq.ft.,Bayan Baru,"Nov 5, 22:50",https://www.mudah.my/CORNER+2+Storey+Terrace+House+3240sf+BIG+GARDEN+Lrg+Mahsuri+CALL+ME+NW-89265441.htm
