Title,Price,Bedrooms,Bathrooms,Areas,Location,Release Date,Url,Per-Sqft
Saujana Aster Condo Presint 11 Putrajaya house for Rent,1200,4,2,1043,Putrajaya,"Yesterday, 22:49",https://www.mudah.my/Saujana+Aster+Condo+Presint+11+Putrajaya+house+for+Rent-88310991.htm,1.1505273250239694
Putrajaya Saujana Aster/Presint 11/Party Furnished,1550,4,2,1146,Putrajaya,"Yesterday, 22:35",https://www.mudah.my/Putrajaya+Saujana+Aster+Presint+11+Party+Furnished-87982274.htm,1.3525305410122164
"Puteri Palma Condominium, Putrajaya",2000,3,3,1400,Putrajaya,"Yesterday, 22:30",https://www.mudah.my/Puteri+Palma+Condominium+Putrajaya-88676354.htm,1.4285714285714286
FOR RENT ||FULLY FURNISHED|| Palma Condominium Putrajaya Presint 11,1600,3,2,1000,Putrajaya,"Yesterday, 22:30",https://www.mudah.my/FOR+RENT+FULLY+FURNISHED+Palma+Condominium+Putrajaya+Presint+11-87982023.htm,1.6
"Puteri Palma Condominium, Putrajaya",2600,3,3,1600,Putrajaya,"Yesterday, 22:22",https://www.mudah.my/Puteri+Palma+Condominium+Putrajaya-88676430.htm,1.625
LARGE END UNIT Dwiputra Residence Presint 15 Putrajaya Next Alamanda,2000,3,3,1200,Putrajaya,"Yesterday, 22:10",https://www.mudah.my/LARGE+END+UNIT+Dwiputra+Residence+Presint+15+Putrajaya+Next+Alamanda-84653187.htm,1.6666666666666667
"Puteri Palma Condominium, Putrajaya",2000,3,3,1500,Putrajaya,"Yesterday, 22:08",https://www.mudah.my/Puteri+Palma+Condominium+Putrajaya-88676250.htm,1.3333333333333333
"Puteri Palma Condominium, Putrajaya",2000,3,3,1700,Putrajaya,"Yesterday, 22:02",https://www.mudah.my/Puteri+Palma+Condominium+Putrajaya-88676187.htm,1.1764705882352942
"Puteri Palma Condominium, Putrajaya",1600,3,2,1650,Putrajaya,"Yesterday, 21:50",https://www.mudah.my/Puteri+Palma+Condominium+Putrajaya-88675902.htm,0.9696969696969697
Rental Pangsapuri Putra Harmoni Presint 9,1000,3,2,700,Putrajaya,"Yesterday, 21:35",https://www.mudah.my/Rental+Pangsapuri+Putra+Harmoni+Presint+9-88675846.htm,1.4285714285714286
"Puteri Palma Condominium, Putrajaya",2200,3,3,1500,Putrajaya,"Yesterday, 21:24",https://www.mudah.my/Puteri+Palma+Condominium+Putrajaya-88675744.htm,1.4666666666666666
For Rent-Apartment near IOI City Mall Putrajaya-partial furnish,1200,2,2,783,Putrajaya,"Yesterday, 18:47",https://www.mudah.my/For+Rent+Apartment+near+IOI+City+Mall+Putrajaya+partial+furnish-88673938.htm,1.5325670498084292
Rumah Sewa Kitchen Cabinet Cantik! Apartment Pudina Presint 17,1300,3,2,1200,Putrajaya,"Yesterday, 17:50",https://www.mudah.my/Rumah+Sewa+Kitchen+Cabinet+Cantik+Apartment+Pudina+Presint+17-88673178.htm,1.0833333333333333
"[FULLY FURNISHED ] Dwiputra Residence Presint 15,Putrajaya",1700,3,2,950,Putrajaya,"Yesterday, 15:45",https://www.mudah.my/+FULLY+FURNISHED+Dwiputra+Residence+Presint+15+Putrajaya-88671599.htm,1.7894736842105263
Rumah Besar untuk Disewa Larai Presint 6 Putrajaya,1200,2,2,1200,Putrajaya,"Yesterday, 11:55",https://www.mudah.my/Rumah+Besar+untuk+Disewa+Larai+Presint+6+Putrajaya-88572733.htm,1.0
For Rent Partial Furnished at IOI Mall Purtajaya,1200,2,2,780,Putrajaya,"Yesterday, 11:10",https://www.mudah.my/For+Rent+Partial+Furnished+at+IOI+Mall+Purtajaya-86154543.htm,1.5384615384615385
[Next to Ayer8] Tamara Residence Presint 8 Putrajaya,1700,3,2,1205,Putrajaya,"Yesterday, 11:02",https://www.mudah.my/+Next+to+Ayer8+Tamara+Residence+Presint+8+Putrajaya-88667750.htm,1.4107883817427387
"Menyewa Sambil Membeli, SKIM SEWA BELI, Conezion Residences, Putrajaya",1200,2,2,780,Putrajaya,"Yesterday, 10:35",https://www.mudah.my/Menyewa+Sambil+Membeli+SKIM+SEWA+BELI+Conezion+Residences+Putrajaya-88667205.htm,1.5384615384615385
{MURAH Brand NEW Partial Furnished} Apartment Selasih PUTRAJAYA,1350,3,2,1200,Putrajaya,"Yesterday, 10:10",https://www.mudah.my/+MURAH+Brand+NEW+Partial+Furnished+Apartment+Selasih+PUTRAJAYA-88666898.htm,1.125
Guard Gated1500 sqft 4 bilik Balcony Gated Rumah Baru TAK PERNAH DUDUK,1199,4,3,1500,Putrajaya,"Yesterday, 09:25",https://www.mudah.my/Guard+Gated1500+sqft+4+bilik+Balcony+Gated+Rumah+Baru+TAK+PERNAH+DUDUK-88666227.htm,0.7993333333333333
Puteri Palma Condo,3300,3,2,1800,Putrajaya,"Yesterday, 08:51",https://www.mudah.my/Puteri+Palma+Condo-88666019.htm,1.8333333333333333
Furnished jalan kaki ke sprm hospital bomba putrajaya sentral,1299,3,2,700,Putrajaya,"Yesterday, 08:05",https://www.mudah.my/Furnished+jalan+kaki+ke+sprm+hospital+bomba+putrajaya+sentral-88665453.htm,1.8557142857142856
Aircnd tmn permainan sekolah park byk kitchn cbnt bersih,999,3,2,799,Putrajaya,"Yesterday, 08:05",https://www.mudah.my/Aircnd+tmn+permainan+sekolah+park+byk+kitchn+cbnt+bersih-88665455.htm,1.2503128911138923
Furnished quad safety guarded astro privacy view cun best murah,899,3,2,899,Putrajaya,"Yesterday, 08:05",https://www.mudah.my/Furnished+quad+safety+guarded+astro+privacy+view+cun+best+murah-88665454.htm,1.0
