Title,Price,Bedrooms,Bathrooms,Areas,Location,Release Date,Url
Saujana Aster Condo Presint 11 Putrajaya house for Rent,RM 1 200 per month,4 Bedrooms,2 Bathrooms,1043 sq.ft.,Putrajaya,"Yesterday, 22:49",https://www.mudah.my/Saujana+Aster+Condo+Presint+11+Putrajaya+house+for+Rent-88310991.htm
Putrajaya Saujana Aster/Presint 11/Party Furnished,RM 1 550 per month,4 Bedrooms,2 Bathrooms,1146 sq.ft.,Putrajaya,"Yesterday, 22:35",https://www.mudah.my/Putrajaya+Saujana+Aster+Presint+11+Party+Furnished-87982274.htm
"Puteri Palma Condominium, Putrajaya",RM 2 000 per month,3 Bedrooms,3 Bathrooms,1400 sq.ft.,Putrajaya,"Yesterday, 22:30",https://www.mudah.my/Puteri+Palma+Condominium+Putrajaya-88676354.htm
FOR RENT ||FULLY FURNISHED|| Palma Condominium Putrajaya Presint 11,RM 1 600 per month,3 Bedrooms,2 Bathrooms,1000 sq.ft.,Putrajaya,"Yesterday, 22:30",https://www.mudah.my/FOR+RENT+FULLY+FURNISHED+Palma+Condominium+Putrajaya+Presint+11-87982023.htm
"Puteri Palma Condominium, Putrajaya",RM 2 600 per month,3 Bedrooms,3 Bathrooms,1600 sq.ft.,Putrajaya,"Yesterday, 22:22",https://www.mudah.my/Puteri+Palma+Condominium+Putrajaya-88676430.htm
LARGE END UNIT Dwiputra Residence Presint 15 Putrajaya Next Alamanda,RM 2 000 per month,3 Bedrooms,3 Bathrooms,1200 sq.ft.,Putrajaya,"Yesterday, 22:10",https://www.mudah.my/LARGE+END+UNIT+Dwiputra+Residence+Presint+15+Putrajaya+Next+Alamanda-84653187.htm
"Puteri Palma Condominium, Putrajaya",RM 2 000 per month,3 Bedrooms,3 Bathrooms,1500 sq.ft.,Putrajaya,"Yesterday, 22:08",https://www.mudah.my/Puteri+Palma+Condominium+Putrajaya-88676250.htm
"Puteri Palma Condominium, Putrajaya",RM 2 000 per month,3 Bedrooms,3 Bathrooms,1700 sq.ft.,Putrajaya,"Yesterday, 22:02",https://www.mudah.my/Puteri+Palma+Condominium+Putrajaya-88676187.htm
"Puteri Palma Condominium, Putrajaya",RM 1 600 per month,3 Bedrooms,2 Bathrooms,1650 sq.ft.,Putrajaya,"Yesterday, 21:50",https://www.mudah.my/Puteri+Palma+Condominium+Putrajaya-88675902.htm
Rental Pangsapuri Putra Harmoni Presint 9,RM 1 000 per month,3 Bedrooms,2 Bathrooms,700 sq.ft.,Putrajaya,"Yesterday, 21:35",https://www.mudah.my/Rental+Pangsapuri+Putra+Harmoni+Presint+9-88675846.htm
"Puteri Palma Condominium, Putrajaya",RM 2 200 per month,3 Bedrooms,3 Bathrooms,1500 sq.ft.,Putrajaya,"Yesterday, 21:24",https://www.mudah.my/Puteri+Palma+Condominium+Putrajaya-88675744.htm
For Rent-Apartment near IOI City Mall Putrajaya-partial furnish,RM 1 200 per month,2 Bedrooms,2 Bathrooms,783 sq.ft.,Putrajaya,"Yesterday, 18:47",https://www.mudah.my/For+Rent+Apartment+near+IOI+City+Mall+Putrajaya+partial+furnish-88673938.htm
Rumah Sewa Kitchen Cabinet Cantik! Apartment Pudina Presint 17,RM 1 300 per month,3 Bedrooms,2 Bathrooms,1200 sq.ft.,Putrajaya,"Yesterday, 17:50",https://www.mudah.my/Rumah+Sewa+Kitchen+Cabinet+Cantik+Apartment+Pudina+Presint+17-88673178.htm
"[FULLY FURNISHED ] Dwiputra Residence Presint 15,Putrajaya",RM 1 700 per month,3 Bedrooms,2 Bathrooms,950 sq.ft.,Putrajaya,"Yesterday, 15:45",https://www.mudah.my/+FULLY+FURNISHED+Dwiputra+Residence+Presint+15+Putrajaya-88671599.htm
Rumah Besar untuk Disewa Larai Presint 6 Putrajaya,RM 1 200 per month,2 Bedrooms,2 Bathrooms,1200 sq.ft.,Putrajaya,"Yesterday, 11:55",https://www.mudah.my/Rumah+Besar+untuk+Disewa+Larai+Presint+6+Putrajaya-88572733.htm
For Rent Partial Furnished at IOI Mall Purtajaya,RM 1 200 per month,2 Bedrooms,2 Bathrooms,780 sq.ft.,Putrajaya,"Yesterday, 11:10",https://www.mudah.my/For+Rent+Partial+Furnished+at+IOI+Mall+Purtajaya-86154543.htm
[Next to Ayer8] Tamara Residence Presint 8 Putrajaya,RM 1 700 per month,3 Bedrooms,2 Bathrooms,1205 sq.ft.,Putrajaya,"Yesterday, 11:02",https://www.mudah.my/+Next+to+Ayer8+Tamara+Residence+Presint+8+Putrajaya-88667750.htm
"Menyewa Sambil Membeli, SKIM SEWA BELI, Conezion Residences, Putrajaya",RM 1 200 per month,2 Bedrooms,2 Bathrooms,780 sq.ft.,Putrajaya,"Yesterday, 10:35",https://www.mudah.my/Menyewa+Sambil+Membeli+SKIM+SEWA+BELI+Conezion+Residences+Putrajaya-88667205.htm
{MURAH Brand NEW Partial Furnished} Apartment Selasih PUTRAJAYA,RM 1 350 per month,3 Bedrooms,2 Bathrooms,1200 sq.ft.,Putrajaya,"Yesterday, 10:10",https://www.mudah.my/+MURAH+Brand+NEW+Partial+Furnished+Apartment+Selasih+PUTRAJAYA-88666898.htm
