Title,Price,Bedrooms,Bathrooms,Areas,Location,Release Date,Url
"Putra Damai Apartment, Presint 11, Putrajaya",RM 265 000,3 Bedrooms,2 Bathrooms,700 sq.ft.,Putrajaya,"Today, 17:26",https://www.mudah.my/Putra+Damai+Apartment+Presint+11+Putrajaya-88644113.htm
"RENOVATED! Putra Damai Apartment, Precinct 11, Putrajaya",RM 265 000,3 Bedrooms,2 Bathrooms,700 sq.ft.,Putrajaya,"Today, 17:25",https://www.mudah.my/RENOVATED+Putra+Damai+Apartment+Precinct+11+Putrajaya-88103249.htm
"Flexible Deposit : Putra Damai Apartment, Precint 11, Putrajaya",RM 265 000,3 Bedrooms,2 Bathrooms,700 sq.ft.,Putrajaya,"Today, 17:24",https://www.mudah.my/Flexible+Deposit+Putra+Damai+Apartment+Precint+11+Putrajaya-88211969.htm
Murah!!damai apartment precint 11 putrajaya,RM 265 000,3 Bedrooms,2 Bathrooms,700 sq.ft.,Putrajaya,"Today, 17:24",https://www.mudah.my/Murah+damai+apartment+precint+11+putrajaya-88644062.htm
RENOVATED Putra Damai Apartment Precint 11 Putrajaya,RM 280 000,3 Bedrooms,2 Bathrooms,700 sq.ft.,Putrajaya,"Today, 17:23",https://www.mudah.my/RENOVATED+Putra+Damai+Apartment+Precint+11+Putrajaya-88098390.htm
"FLEXIBLE DEPO NICE UNIT Putra Damai Apartment, Precint 11, Putrajaya",RM 265 000,3 Bedrooms,2 Bathrooms,700 sq.ft.,Putrajaya,"Today, 17:04",https://www.mudah.my/FLEXIBLE+DEPO+NICE+UNIT+Putra+Damai+Apartment+Precint+11+Putrajaya-88222021.htm
(Biggest Size!!) Saujana Aster Condo Presint 11,RM 460 000,4 Bedrooms,2 Bathrooms,1126 sq.ft.,Putrajaya,"Today, 17:02",https://www.mudah.my/+Biggest+Size+Saujana+Aster+Condo+Presint+11-88643679.htm
"Pangsapuri Putra Damai, Presint 11 Putrajaya",RM 270 000,3 Bedrooms,2 Bathrooms,700 sq.ft.,Putrajaya,"Today, 16:35",https://www.mudah.my/Pangsapuri+Putra+Damai+Presint+11+Putrajaya-88514493.htm
[Freehold]Luxury Condo with Cashback 50k,RM 278 405,3 Bedrooms,2 Bathrooms,700 sq.ft.,Putrajaya,"Today, 16:30",https://www.mudah.my/+Freehold+Luxury+Condo+with+Cashback+50k-88535375.htm
"[Freehold & Fully Renovated] Puteri Palm Condo, IOI Resort, Putrajaya",RM 960 000,3 Bedrooms,2 Bathrooms,2013 sq.ft.,Putrajaya,"Today, 16:25",https://www.mudah.my/+Freehold+Fully+Renovated+Puteri+Palm+Condo+IOI+Resort+Putrajaya-88642893.htm
"(CHEAPEST)(FREEHOLD) Condominium Saujana Aster, Presint 11, Putrajaya",RM 420 000,4 Bedrooms,2 Bathrooms,1050 sq.ft.,Putrajaya,"Today, 15:28",https://www.mudah.my/+CHEAPEST+FREEHOLD+Condominium+Saujana+Aster+Presint+11+Putrajaya-86445697.htm
"Pangsapuri Putra Harmoni (Ground Floor) Presint 9, Putrajaya",RM 315 000,3 Bedrooms,2 Bathrooms,700 sq.ft.,Putrajaya,"Today, 15:26",https://www.mudah.my/Pangsapuri+Putra+Harmoni+Ground+Floor+Presint+9+Putrajaya-88642086.htm
[RUMAH CANTIK KEMAS] Apartment Putra Damai Precint 11 Putrajaya,RM 260 000,3 Bedrooms,2 Bathrooms,700 sq.ft.,Putrajaya,"Today, 15:25",https://www.mudah.my/+RUMAH+CANTIK+KEMAS+Apartment+Putra+Damai+Precint+11+Putrajaya-88467133.htm
"(FULLY FURNISHED + RENOVATED) Dwiputra Residence, Putrajaya (CORNER)",RM 560 000,3 Bedrooms,2 Bathrooms,1200 sq.ft.,Putrajaya,"Today, 15:20",https://www.mudah.my/+FULLY+FURNISHED+RENOVATED+Dwiputra+Residence+Putrajaya+CORNER+-88602163.htm
"For sale: pangsapuri putra damai, presint 11, putrajaya",RM 270 000,3 Bedrooms,2 Bathrooms,700 sq.ft.,Putrajaya,"Today, 14:45",https://www.mudah.my/For+sale+pangsapuri+putra+damai+presint+11+putrajaya-88640907.htm
Putra Damai Apartment Precint 11 Putrajaya - LEVEL 13 LOWESST PRICEEE,RM 240 000,3 Bedrooms,2 Bathrooms,700 sq.ft.,Putrajaya,"Today, 14:25",https://www.mudah.my/Putra+Damai+Apartment+Precint+11+Putrajaya+LEVEL+13+LOWESST+PRICEEE-87994618.htm
(4 BILIK | 1050sqft) Saujana Aster Condominium Presint 11 Putrajaya,RM 420 000,4 Bedrooms,2 Bathrooms,1050 sq.ft.,Putrajaya,"Today, 13:50",https://www.mudah.my/+4+BILIK+1050sqft+Saujana+Aster+Condominium+Presint+11+Putrajaya-88639812.htm
(VIEW MASJID & LAKE) Tamara Residence Presint 8 Putrajaya,RM 575 000,3 Bedrooms,2 Bathrooms,1205 sq.ft.,Putrajaya,"Today, 13:30",https://www.mudah.my/+VIEW+MASJID+LAKE+Tamara+Residence+Presint+8+Putrajaya-88639490.htm
Package Best Investment Condo High Cashback 48k 30min to Kl,RM 278 000,3 Bedrooms,2 Bathrooms,700 sq.ft.,Putrajaya,"Today, 13:23",https://www.mudah.my/Package+Best+Investment+Condo+High+Cashback+48k+30min+to+Kl-88639561.htm
