Title,Types,Price,Bedrooms,Bathrooms,Areas,Location,Release Date,Url
(full loan) seksyen 32 kemuning aman nr bukit rimau shah alam klang,Apartments,RM 230 000,3 Bedrooms,2 Bathrooms,738 sq.ft.,Kota Kemuning,"Today, 13:35",https://www.mudah.my/+full+loan+seksyen+32+kemuning+aman+nr+bukit+rimau+shah+alam+klang-91615071.htm
"FLEXIBLE DEPOSIT - Duplex Townhouse Sri Mahligai Condo, Seksyen 9, Sha",Apartments,RM 445 000,3 Bedrooms,3 Bathrooms,1177 sq.ft.,Shah Alam,"Today, 13:30",https://www.mudah.my/FLEXIBLE+DEPOSIT+Duplex+Townhouse+Sri+Mahligai+Condo+Seksyen+9+Sha-91404282.htm
"Puchong Permata 1. all race can buy, corner lot",Apartments,RM 267 000,3 Bedrooms,2 Bathrooms,850 sq.ft.,Puchong,"Today, 13:30",https://www.mudah.my/Puchong+Permata+1+all+race+can+buy+corner+lot-91123482.htm
[FULL LOAN+LOW DP] Pangsapuri Seri Jati Apartments Setia Alam,Apartments,RM 275 000,3 Bedrooms,2 Bathrooms,813 sq.ft.,Setia Alam,"Today, 13:30",https://www.mudah.my/+FULL+LOAN+LOW+DP+Pangsapuri+Seri+Jati+Apartments+Setia+Alam-90984351.htm
Fully Furnished Full Loan Casa Indah 1 Condo Kota Damansara,Apartments,RM 530 000,3 Bedrooms,2 Bathrooms,1089 sq.ft.,Kota Damansara,"Today, 13:30",https://www.mudah.my/Fully+Furnished+Full+Loan+Casa+Indah+1+Condo+Kota+Damansara-85796767.htm
(PARTLY FURNISHED) Zeva Residences Equine Puchong South Seri Kembangan,Apartments,RM 400 000,3 Bedrooms,3 Bathrooms,881 sq.ft.,Seri Kembangan,"Today, 13:24",https://www.mudah.my/+PARTLY+FURNISHED+Zeva+Residences+Equine+Puchong+South+Seri+Kembangan-91799928.htm
Apartment Tropicana Aman 1 Kota Kemuning NEWLY COMPLETED,Apartments,RM 430 000,3 Bedrooms,2 Bathrooms,870 sq.ft.,Kota Kemuning,"Today, 13:22",https://www.mudah.my/Apartment+Tropicana+Aman+1+Kota+Kemuning+NEWLY+COMPLETED-91799864.htm
NO INTEREST DURING CONSTUCTION Subang Jaya 2 Duo Key Studen Apart,Apartments,RM 653 000,3 Bedrooms,2 Bathrooms,851 sq.ft.,Subang Jaya,"Today, 13:22",https://www.mudah.my/NO+INTEREST+DURING+CONSTUCTION+Subang+Jaya+2+Duo+Key+Studen+Apart-91799858.htm
"Pangsapuri Jati, Kota Perdana, Seri Kembangan",Apartments,RM 135 000,3 Bedrooms,2 Bathrooms,753 sq.ft.,Seri Kembangan,"Today, 13:20",https://www.mudah.my/Pangsapuri+Jati+Kota+Perdana+Seri+Kembangan-88980328.htm
"Freehold Spacious Balcony Indahria Apartment Seksyen 22, Shah Alam",Apartments,RM 329 000,3 Bedrooms,2 Bathrooms,1008 sq.ft.,Shah Alam,"Today, 13:20",https://www.mudah.my/Freehold+Spacious+Balcony+Indahria+Apartment+Seksyen+22+Shah+Alam-91715039.htm
