Title,Types,Price,Bedrooms,Bathrooms,Areas,Location,Release Date,Url
"2 Storey, Bandar Baru Selayang, Batu Caves, Selangor",Houses,RM 750 000,5 Bedrooms,3 Bathrooms,1560 sq.ft.,Selayang,"Today, 12:17",https://www.mudah.my/2+Storey+Bandar+Baru+Selayang+Batu+Caves+Selangor-90347712.htm
2 STOREY Taman Bukit Kajang [EXTENDED KITCHEN NEARBY MRT KTM KAJANG],Houses,RM 420 000,4 Bedrooms,2 Bathrooms,1540 sq.ft.,Kajang,"Today, 12:15",https://www.mudah.my/2+STOREY+Taman+Bukit+Kajang+EXTENDED+KITCHEN+NEARBY+MRT+KTM+KAJANG+-90713938.htm
Low depo 2 storey jalan mawar puchong perdana near lrt,Houses,RM 387 000,4 Bedrooms,2 Bathrooms,1300 sq.ft.,Puchong,"Today, 12:15",https://www.mudah.my/Low+depo+2+storey+jalan+mawar+puchong+perdana+near+lrt-89709824.htm
"[END LOT] 2sty Terrace House, Chloe Residence, Kota Emerald, Rawang",Houses,RM 880 000,4 Bedrooms,3 Bathrooms,2240 sq.ft.,Rawang,"Today, 12:15",https://www.mudah.my/+END+LOT+2sty+Terrace+House+Chloe+Residence+Kota+Emerald+Rawang-91702241.htm
Lina low depo 1 storey puchong perdana near lrt renovated,Houses,RM 460 000,3 Bedrooms,2 Bathrooms,1100 sq.ft.,Puchong,"Today, 12:15",https://www.mudah.my/Lina+low+depo+1+storey+puchong+perdana+near+lrt+renovated-91598747.htm
"[Extra Land] 1sty Terrace House, Taman Velox, Country Homes, Rawang",Houses,RM 305 000,3 Bedrooms,2 Bathrooms,1689 sq.ft.,Rawang,"Today, 12:15",https://www.mudah.my/+Extra+Land+1sty+Terrace+House+Taman+Velox+Country+Homes+Rawang-90522002.htm
( Below Market) PUCHONG Utama Near Aeon Big Bukit Puchong Tesco,Houses,RM 488 000,4 Bedrooms,3 Bathrooms,1080 sq.ft.,Puchong,"Today, 12:15",https://www.mudah.my/+Below+Market+PUCHONG+Utama+Near+Aeon+Big+Bukit+Puchong+Tesco-91666578.htm
[BRAND NEW] Double Storey Intermediate ELMINA Green,Houses,RM 699 999,4 Bedrooms,3 Bathrooms,2001 sq.ft.,Saujana Utama,"Today, 12:15",https://www.mudah.my/+BRAND+NEW+Double+Storey+Intermediate+ELMINA+Green-91415537.htm
"Single Storey Terraces House Saujana Utama, Seksyen U17 Shah Alam",Houses,RM 388 000,3 Bedrooms,2 Bathrooms,1400 sq.ft.,Saujana Utama,"Today, 12:15",https://www.mudah.my/Single+Storey+Terraces+House+Saujana+Utama+Seksyen+U17+Shah+Alam-91078439.htm
"[Endlot Lower unit] Odora parkhome townvilla, 16 sierra, puchong south",Houses,RM 655 000,3 Bedrooms,3 Bathrooms,1862 sq.ft.,Puchong South,"Today, 12:15",https://www.mudah.my/+Endlot+Lower+unit+Odora+parkhome+townvilla+16+sierra+puchong+south-89074577.htm
Private Lift And Swimming Pool.4 Storey Bungalow Lake Front Villa,Houses,RM 3 750 000,7 Bedrooms,7 Bathrooms,7079 sq.ft.,Cyberjaya,"Today, 12:15",https://www.mudah.my/Private+Lift+And+Swimming+Pool+4+Storey+Bungalow+Lake+Front+Villa-91830500.htm
"[Reno / Facing Open] 2 sty House, Taman Jasmin, Kajang Prima, Kajang",Houses,RM 325 000,2 Bedrooms,2 Bathrooms,1100 sq.ft.,Kajang,"Today, 12:15",https://www.mudah.my/+Reno+Facing+Open+2+sty+House+Taman+Jasmin+Kajang+Prima+Kajang-91830497.htm
"Semi-d dan teres setingkat murah & besar, jalan kebun",Houses,RM 360 000,4 Bedrooms,2 Bathrooms,3052 sq.ft.,Shah Alam,"Today, 12:15",https://www.mudah.my/Semi+d+dan+teres+setingkat+murah+besar+jalan+kebun-91600653.htm
