Title,Types,Price,Bedrooms,Bathrooms,Areas,Location,Release Date,Url
"Best Cyberia smarthome Condo, The Arc condo, Mutiara Cyberjaya",Apartments,RM 223 000,2 Bedrooms,3 Bathrooms,1050 sq.ft.,Cyberjaya,"Today, 10:15",https://www.mudah.my/Best+Cyberia+smarthome+Condo+The+Arc+condo+Mutiara+Cyberjaya-91450741.htm
"Tanah Lot Bungalow (Residential Land) JALAN DESA EMPAT, Bangi",Land,RM 439 890,Freehold,Residential,7998 Acres,Bangi,"Today, 10:15",https://www.mudah.my/Tanah+Lot+Bungalow+Residential+Land+JALAN+DESA+EMPAT+Bangi-88910898.htm
"Below Market Cyberia smarthome 0% townhouse I, townvilla 1, Cyberjaya",Apartments,RM 328 000,4 Bedrooms,3 Bathrooms,1658 sq.ft.,Cyberjaya,"Today, 10:15",https://www.mudah.my/Below+Market+Cyberia+smarthome+0+townhouse+I+townvilla+1+Cyberjaya-87202145.htm
FOR SALE Bukit Raja - Klang - 1 1/2 Storey End Lot With 8' Land,Houses,RM 685 000,4 Bedrooms,2 Bathrooms,2210 sq.ft.,Bandar Bukit Raja,"Today, 10:15",https://www.mudah.my/FOR+SALE+Bukit+Raja+Klang+1+1+2+Storey+End+Lot+With+8+Land-90748257.htm
FOR SALE Bukit Raja - Klang (JALAN ZAPIN) 1 1/2 Storey End Lot With 8,Houses,RM 685 000,4 Bedrooms,2 Bathrooms,2210 sq.ft.,Klang,"Today, 10:15",https://www.mudah.my/FOR+SALE+Bukit+Raja+Klang+JALAN+ZAPIN+1+1+2+Storey+End+Lot+With+8-90687285.htm
CORNER | Apartment Taman Sepakat Indah 2 Kajang,Apartments,RM 330 000,3 Bedrooms,2 Bathrooms,1050 sq.ft.,Kajang,"Today, 10:10",https://www.mudah.my/CORNER+Apartment+Taman+Sepakat+Indah+2+Kajang-91796224.htm
DOUBLE STOREY D'SENTRAL BANDAR SERI PUTRA BANGI s,Houses,RM 545 000,5 Bedrooms,3 Bathrooms,1625 sq.ft.,Bangi,"Today, 10:10",https://www.mudah.my/DOUBLE+STOREY+D+SENTRAL+BANDAR+SERI+PUTRA+BANGI+s-91796222.htm
FREEHOLD STRATEGIC LOCATION Bungalow Lot Setia EcoHill Semenyih,Land,RM 594 000,Freehold,Residential,0.15 Acres,Semenyih,"Today, 10:10",https://www.mudah.my/FREEHOLD+STRATEGIC+LOCATION+Bungalow+Lot+Setia+EcoHill+Semenyih-91796219.htm
TERMURAH & CANTIK | Avenham Type B Eco Grandeur Puncak Alam,Houses,RM 695 000,4 Bedrooms,3 Bathrooms,1836 sq.ft.,Puncak Alam,"Today, 10:10",https://www.mudah.my/TERMURAH+CANTIK+Avenham+Type+B+Eco+Grandeur+Puncak+Alam-91693132.htm
Pandan Mewah Height Condo Ampang 965sqft Corner Lot 100% Full Loan,Apartments,RM 265 000,3 Bedrooms,2 Bathrooms,965 sq.ft.,Ampang,"Today, 10:10",https://www.mudah.my/Pandan+Mewah+Height+Condo+Ampang+965sqft+Corner+Lot+100+Full+Loan-91796279.htm
"[END LOT] Single Storey Terrace, Taman Pelangi Rawang Extra Land",Houses,RM 380 000,3 Bedrooms,2 Bathrooms,1302 sq.ft.,Rawang,"Today, 10:10",https://www.mudah.my/+END+LOT+Single+Storey+Terrace+Taman+Pelangi+Rawang+Extra+Land-91796264.htm
MUDAH>> Flat Pinggiran Batu Caves Gombak Greenwood Samudra >FULL LOAN,Apartments,RM 126 000,3 Bedrooms,1 Bathroom,592 sq.ft.,Batu Caves,"Today, 10:10",https://www.mudah.my/MUDAH+Flat+Pinggiran+Batu+Caves+Gombak+Greenwood+Samudra+FULL+LOAN-91796260.htm
Rumah 2 Tingkat Saujana Utama 1 (Renovated & Furnished),Houses,RM 480 000,4 Bedrooms,3 Bathrooms,1750 sq.ft.,Saujana Utama,"Today, 10:10",https://www.mudah.my/Rumah+2+Tingkat+Saujana+Utama+1+Renovated+Furnished+-91764403.htm
Persanda apartment section 13 near lrt3,Apartments,RM 325 000,3 Bedrooms,2 Bathrooms,930 sq.ft.,Shah Alam,"Today, 10:10",https://www.mudah.my/Persanda+apartment+section+13+near+lrt3-91764196.htm
Town House [Ground Floor] Renovated Country Height Kajang‼️,Houses,RM 540 000,3 Bedrooms,2 Bathrooms,1452 sq.ft.,Kajang,"Today, 10:10",https://www.mudah.my/Town+House+Ground+Floor+Renovated+Country+Height+Kajang+-91751321.htm
For Sale ❗️House Double Storey 350k Only❗️Taman Maju,Houses,RM 350 000,3 Bedrooms,2 Bathrooms,1008 sq.ft.,Kajang,"Today, 10:10",https://www.mudah.my/For+Sale+House+Double+Storey+350k+Only+Taman+Maju-91638699.htm
Sangat Murah Cantik [ RM 1000 Bulanan ] Permai Prima Apartment Ampang,Apartments,RM 260 000,3 Bedrooms,2 Bathrooms,758 sq.ft.,Ampang,"Today, 10:10",https://www.mudah.my/Sangat+Murah+Cantik+RM+1000+Bulanan+Permai+Prima+Apartment+Ampang-91624972.htm
CORNER SEMI D Cluster Alam Suria Fasa 5A6 Puncak Alam,Houses,RM 625 000,4 Bedrooms,3 Bathrooms,2450 sq.ft.,Puncak Alam,"Today, 10:10",https://www.mudah.my/CORNER+SEMI+D+Cluster+Alam+Suria+Fasa+5A6+Puncak+Alam-91550860.htm
"Kajang & Semenyih, 2 sty house, Diskaun 10%",Houses,RM 586 000,4 Bedrooms,3 Bathrooms,1727 sq.ft.,Bangi,"Today, 10:10",https://www.mudah.my/Kajang+Semenyih+2+sty+house+Diskaun+10+-89685437.htm
NEW UNIT Triple Storey Terrace House Setia Alam,Houses,RM 850 000,4 Bedrooms,5 Bathrooms,2332 sq.ft.,Setia Alam,"Today, 10:10",https://www.mudah.my/NEW+UNIT+Triple+Storey+Terrace+House+Setia+Alam-89159881.htm
20% BELOW MARKET!! 2.5 Storey Bungalow Monterez Golf Course Shah Alam,Houses,RM 3 800 000,7 Bedrooms,7 Bathrooms,15000 sq.ft.,Shah Alam,"Today, 10:08",https://www.mudah.my/20+BELOW+MARKET+2+5+Storey+Bungalow+Monterez+Golf+Course+Shah+Alam-91723504.htm
